,TSS_max,TSS_mean,TSS_min,TSS_stdDev,area_km2,band_count,idx,month_init,time_finish,time_start,water_period,year
0,231.3883514404297,48.812000344234484,8.646607398986816,27.405530067776343,1043.4040130082576,6,0,12,1985-04-09,1984-12-24,R,1984
1,230.72354125976562,26.369014805470904,7.906408309936523,18.243428217787784,1091.495113033965,6,1,4,1985-07-09,1985-04-09,HW,1985
2,233.25125122070312,36.78800539586648,8.202881813049316,24.029145391972634,885.7687563203566,6,2,7,1985-09-23,1985-07-09,F,1985
3,234.16390991210938,59.018131181023875,10.828718185424805,48.529756035490465,981.618495408303,6,3,9,1985-12-16,1985-09-23,LW,1985
4,231.4406280517578,20.104852677257384,8.064193725585938,22.183980188807816,1131.200198435967,6,4,6,1986-08-23,1986-06-08,F,1986
5,235.26026916503906,62.352861493001186,9.728499412536621,37.278322695274156,1005.1201743133837,6,5,8,1986-11-23,1986-08-23,LW,1986
6,234.9059600830078,83.8672426419026,8.897278785705566,51.69661408875029,1123.628482739126,6,6,11,1987-03-09,1986-11-23,R,1986
7,225.5315704345703,29.081711260970717,7.940857887268066,17.1588946001983,1099.7573845232237,6,7,3,1987-06-16,1987-03-09,HW,1987
8,216.69912719726562,24.73253608296235,8.064339637756348,11.955821896852694,1117.0366889115155,6,8,6,1987-09-16,1987-06-16,F,1987
9,235.06117248535156,213.2241006202755,10.753714561462402,33.56270705957812,771.1163744453232,6,9,9,1987-12-24,1987-09-16,LW,1987
10,233.43524169921875,50.6198488780627,8.056079864501953,28.00777125213219,1165.7344021144722,6,10,12,1988-04-08,1987-12-24,R,1987
11,233.7978973388672,38.91258997157194,8.149343490600586,34.865512016620094,957.0126195650645,6,11,7,1988-08-31,1988-07-01,F,1988
12,235.2598876953125,68.53275155911459,8.307052612304688,49.26676874299991,995.0773007545753,6,12,8,1988-11-30,1988-08-31,LW,1988
13,235.20639038085938,99.10875760553472,8.65372371673584,66.66660206615157,870.9216910792363,6,13,11,1989-04-01,1988-11-30,R,1988
14,231.0474853515625,29.21715756621701,7.932968616485596,15.886247268259567,1368.0606732417646,6,14,7,1989-11-08,1989-07-24,F,1989
15,234.18385314941406,153.8277524880621,10.839653015136719,57.725672020115546,1011.4004320410482,6,15,11,1990-01-31,1989-11-08,LW,1989
16,234.993408203125,93.5815120849053,8.22611141204834,54.03505219957476,1337.4237727078732,6,16,1,1990-04-01,1990-01-31,R,1990
17,228.72576904296875,37.58815552403891,7.931285858154297,22.99793325154,1334.5062657957637,6,17,4,1990-06-16,1990-04-01,HW,1990
18,228.5950164794922,22.211906909006757,7.940857887268066,16.523187432068035,1250.4614619488846,6,18,6,1990-09-16,1990-06-16,F,1990
19,235.23265075683594,142.9060334159425,8.863408088684082,63.89988212376158,965.4021193929306,6,19,9,1990-12-24,1990-09-16,LW,1990
20,230.45054626464844,45.13037117938286,8.197819709777832,20.526760039632823,1164.274376579738,6,20,12,1991-04-09,1990-12-24,R,1990
21,232.37664794921875,169.1398788761993,8.927762985229492,39.03634045178261,209.0019331996415,6,21,7,1991-09-23,1991-07-09,F,1991
22,233.8366241455078,213.59236229586026,10.924068450927734,30.63407684029372,938.5822128456325,6,22,9,1991-12-16,1991-09-23,LW,1991
23,235.1419677734375,204.37893503573045,10.519024848937988,39.48268606535243,639.0535037526678,6,23,12,1992-03-16,1991-12-16,R,1991
24,232.68995666503906,47.7888439045139,8.869485855102539,26.18298954366101,1191.8973838925663,6,24,3,1992-06-16,1992-03-16,HW,1992
25,234.5397491455078,52.453124731165865,8.847450256347656,22.530368428283904,1203.4394678567296,6,25,6,1992-09-16,1992-06-16,F,1992
26,234.3448486328125,208.28320143052684,10.839653015136719,40.6355874966359,852.8604312877341,6,26,9,1992-12-16,1992-09-16,LW,1992
27,234.30596923828125,89.19132674183692,10.001495361328125,52.85517588732574,1061.55817848616,6,27,12,1993-03-16,1992-12-16,R,1992
28,231.26535034179688,29.047976631629133,8.025285720825195,18.81849876847554,1401.1877576530658,6,28,3,1993-06-16,1993-03-16,HW,1993
29,225.4464569091797,27.185564738505125,8.226080894470215,15.196567632079546,1422.279251049122,6,29,6,1993-09-16,1993-06-16,F,1993
30,228.5950164794922,17.250906322411925,7.912693023681641,13.951841429929782,1343.0780762036547,6,30,4,1994-07-09,1994-04-09,HW,1994
31,225.48080444335938,28.85259296689093,8.111077308654785,31.73583045184791,924.4623171067302,6,31,7,1994-09-23,1994-07-09,F,1994
32,234.2882080078125,69.32361071351092,10.839653015136719,46.99912155316064,1086.9980963252626,6,32,9,1994-12-24,1994-09-23,LW,1994
33,234.54896545410156,68.10189743027261,8.088418006896973,40.84836732664599,1135.25286697474,6,33,12,1995-04-09,1994-12-24,R,1994
34,226.20791625976562,29.810546101164725,7.940846920013428,25.01008547476604,1212.2644456217733,6,34,7,1995-08-31,1995-07-01,F,1995
35,234.38548278808594,158.83806872727138,10.306994438171387,68.43440119823256,487.1323649525229,6,35,11,1996-03-08,1995-11-23,R,1995
36,231.0649871826172,24.010211260306246,7.910932540893555,18.859751138063,1105.5878839468305,6,36,3,1996-06-16,1996-03-08,HW,1996
37,233.1214599609375,32.388203282985714,8.006062507629395,19.59183935924248,1271.512035034952,6,37,6,1996-09-16,1996-06-16,F,1996
38,235.1846160888672,196.886969535939,9.011154174804688,52.19696921409462,894.626597050151,6,38,9,1996-12-16,1996-09-16,LW,1996
39,230.02052307128906,16.229499160806224,7.890129566192627,9.00393071477684,1271.9366898558246,6,39,3,1997-06-16,1997-03-16,HW,1997
40,215.64157104492188,20.311106037631276,7.925432205200195,12.573516795861513,1394.4259217378697,6,40,6,1997-09-16,1997-06-16,F,1997
41,231.75828552246094,201.87690817595268,10.005043983459473,42.619306585684356,701.9213948230902,6,41,9,1997-12-24,1997-09-16,LW,1997
42,229.26873779296875,50.38511227196604,8.042795181274414,26.517590580335487,1288.2068463346063,6,42,7,1998-08-31,1998-07-01,F,1998
43,234.7637939453125,142.261123666147,8.13782024383545,78.42195368553753,576.6469571402865,6,43,11,1999-04-01,1998-11-30,R,1998
44,224.28599548339844,21.414758963660912,7.879195213317871,23.13235420453193,1296.152876771679,6,44,4,1999-07-09,1999-04-01,HW,1999
45,218.0203399658203,24.320307128219163,7.925432205200195,16.166742837903104,1437.8510603827547,6,45,7,1999-09-23,1999-07-09,F,1999
46,232.8074951171875,170.18502347276527,10.924068450927734,59.116922495993954,881.7249647950983,6,46,9,1999-12-24,1999-09-23,LW,1999
47,234.48280334472656,93.88686224976703,9.016607284545898,68.32542884777558,896.1720387349477,6,47,12,2000-04-08,1999-12-24,R,1999
