,water_period,time_start,time_finish,mean_discharge
82,F,2005-06-08 06:00:00,2005-08-23 18:00:00,192445.21473684208
83,LW,2005-08-23 18:00:00,2005-11-23 00:00:00,92682.09352173911
84,R,2005-11-23 00:00:00,2006-03-09 00:00:00,145596.3938224299
85,HW,2006-03-09 00:00:00,2006-06-16 00:00:00,229704.03980000003
86,F,2006-06-16 00:00:00,2006-09-16 00:00:00,197713.9829032258
87,LW,2006-09-16 00:00:00,2006-12-24 00:00:00,103431.77143000001
88,R,2006-12-24 00:00:00,2007-04-09 00:00:00,164946.1878691589
89,HW,2007-04-09 00:00:00,2007-07-09 06:00:00,217302.56934782607
90,F,2007-07-09 06:00:00,2007-09-23 18:00:00,183716.15473684212
91,LW,2007-09-23 18:00:00,2007-12-24 06:00:00,105467.54961956521
92,R,2007-12-24 06:00:00,2008-04-08 18:00:00,180471.57483018868
93,HW,2008-04-08 18:00:00,2008-07-09 06:00:00,234272.15358695656
94,F,2008-07-09 06:00:00,2008-09-23 18:00:00,187152.55434210526
95,LW,2008-09-23 18:00:00,2008-12-16 06:00:00,111238.95966666666
96,R,2008-12-16 06:00:00,2009-03-16 18:00:00,174916.4340222222
97,HW,2009-03-16 18:00:00,2009-06-16 00:00:00,247497.77739130435
98,F,2009-06-16 00:00:00,2009-09-16 00:00:00,228467.13451612904
99,LW,2009-09-16 00:00:00,2009-12-16 06:00:00,110983.36233695652
100,R,2009-12-16 06:00:00,2010-03-16 18:00:00,145343.79483333335
101,HW,2010-03-16 18:00:00,2010-06-16 00:00:00,208088.9804347826
102,F,2010-06-16 00:00:00,2010-09-16 00:00:00,183720.5707526882
103,LW,2010-09-16 00:00:00,2010-12-24 00:00:00,86233.76481000001
104,R,2010-12-24 00:00:00,2011-04-09 00:00:00,154222.23334579438
105,HW,2011-04-09 00:00:00,2011-07-01 12:00:00,230737.68333333335
106,F,2011-07-01 12:00:00,2011-08-31 12:00:00,206269.74737704918
107,LW,2011-08-31 12:00:00,2011-11-23 06:00:00,108774.88925000001
108,R,2011-11-23 06:00:00,2012-03-08 18:00:00,147394.78501886793
