TSS Correlation,COEF,REGIONAL,REGIONAL
Surface Area,-0.468468468468468,4.49174863255163e-05,0.149335412894292
,-0.276276276276276,0.0161055806109617,0.162451875877743
Discharge,-0.396396396396396,0.0005547495209601,0.155183752548294
Eastward Wind Speed,-0.132132132132132,0.249756284929242,0.167548807358864
Northward Wind Speed,0.225225225225225,0.0497820260502771,0.164687895116121
Anthropic Area,-0.0511278773564433,0.656494616304354,0.168809777996843
