"","TSS_mean","area_km2","precipitation","mean_discharge","u_wind","v_wind","anthropogenic_km2"
"TSS_mean",1,-0.496443812233286,-0.251778093883357,-0.086420661235291,-0.103840682788051,0.200568990042674,-0.0981507823613087
"area_km2",-0.496443812233286,1,0.152204836415363,0.206530732782645,0.112375533428165,-0.0384068278805121,-0.194879089615932
"precipitation",-0.251778093883357,0.152204836415363,1,0.212389760663003,0.305832147937411,-0.12375533428165,-0.0184921763869132
"mean_discharge",-0.086420661235291,0.206530732782645,0.212389760663003,1,0.238755386124617,0.0278303824317039,-0.215319274603183
"u_wind",-0.103840682788051,0.112375533428165,0.305832147937411,0.238755386124617,1,0.2574679943101,-0.194879089615932
"v_wind",0.200568990042674,-0.0384068278805121,-0.12375533428165,0.0278303824317039,0.2574679943101,1,-0.157894736842105
"anthropogenic_km2",-0.0981507823613087,-0.194879089615932,-0.0184921763869132,-0.215319274603183,-0.194879089615932,-0.157894736842105,1
