TSS Correlation,COEF,REGIONAL,REGIONAL
Surface Area,-0.424390243902439,9.27885534282327e-05,0.144992742601795
,-0.129268292682927,0.233816369902802,0.158784623400317
Discharge,-0.492682926829268,5.68702766053872e-06,0.139344944947178
Eastward Wind Speed,0.280487804878049,0.0097847204977811,0.153700223655201
Northward Wind Speed,0.209756097560976,0.0533726698870678,0.156565901544889
Anthropic Area,-0.335570532257791,0.0020084642152165,0.150843136206188
