"","TSS_max","TSS_mean","TSS_min","TSS_stdDev","area_km2","band_count","time_finish","time_start","water_period","year","precipitation","u_wind","v_wind","watershed","anthropogenic_km2","mean_discharge","natural_km2"
"1",231.38835144043,48.8120003442345,8.64660739898682,27.4055300677763,1043.40401300826,6,"1985-04-09","1984-12-24","R",1984,688.247513992944,-0.945100243101277,-0.693334610421886,"Regional Watershed",5234.17433639409,169528.406474747,300491.967541969
"2",230.723541259766,26.3690148054709,7.90640830993652,18.2434282177878,1091.49511303397,6,"1985-07-09","1985-04-09","HW",1985,693.334073351983,-0.727754372504644,-0.126121063641255,"Regional Watershed",1637.26880738463,206814.6649,305485.474607476
"3",233.251251220703,36.7880053958665,8.20288181304932,24.0291453919726,885.768756320357,6,"1985-09-23","1985-07-09","F",1985,350.424617404075,-0.577823579729771,-0.23842640190322,"Regional Watershed",1637.26880738463,158009.549813084,305485.474607476
"4",234.163909912109,59.0181311810239,10.8287181854248,48.5297560354905,981.618495408303,6,"1985-12-16","1985-09-23","LW",1985,404.135124351485,-0.576755159228704,-0.355455302288,"Regional Watershed",1637.26880738463,231944.084716981,305485.474607476
"5",231.440628051758,20.1048526772574,8.06419372558594,22.1839801888078,1131.20019843597,6,"1986-08-23","1986-06-08","F",1986,329.78395696533,-0.679026385021334,-0.0974930598307526,"Regional Watershed",1567.06786180065,231944.084716981,305474.722954858
"6",235.260269165039,62.3528614930012,9.72849941253662,37.2783226952742,1005.12017431338,6,"1986-11-23","1986-08-23","LW",1986,333.563569921969,-0.489689744832198,-0.0312907932670189,"Regional Watershed",1567.06786180065,231944.084716981,305474.722954858
"7",234.905960083008,83.8672426419026,8.89727878570557,51.6966140887503,1123.62848273913,6,"1987-03-09","1986-11-23","R",1986,590.932370022603,-0.958507310991314,-0.461085749950813,"Regional Watershed",1567.06786180065,158009.549813084,305474.722954858
"8",225.53157043457,29.0817112609707,7.94085788726807,17.1588946001983,1099.75738452322,6,"1987-06-16","1987-03-09","HW",1987,808.320176858537,-0.836181859373695,-0.0360044526248501,"Regional Watershed",1769.63736449485,206814.6649,304938.202241482
"9",216.699127197266,24.7325360829624,8.06433963775635,11.9558218968527,1117.03668891152,6,"1987-09-16","1987-06-16","F",1987,323.430233186675,-0.456279568223652,-0.150949216454931,"Regional Watershed",1769.63736449485,177037.437526882,304938.202241482
"10",235.061172485352,213.224100620275,10.7537145614624,33.5627070595781,771.116374445323,6,"1987-12-24","1987-09-16","LW",1987,250.830089110177,-0.377150222269837,-0.123918019475573,"Regional Watershed",1769.63736449485,211205.815584416,304938.202241482
"11",233.435241699219,50.6198488780627,8.05607986450195,28.0077712521322,1165.73440211447,6,"1988-04-08","1987-12-24","R",1987,802.977476638759,-0.837273927280899,-0.434202518488709,"Regional Watershed",1769.63736449485,231944.084716981,304938.202241482
"12",233.797897338867,38.9125899715719,8.14934349060059,34.8655120166201,957.012619565064,6,"1988-08-31","1988-07-01","F",1988,295.325223884865,-0.414608931242232,-0.375762109853132,"Regional Watershed",1819.22713411881,177037.437526882,304585.40638701
"13",235.259887695312,68.5327515591146,8.30705261230469,49.2667687429999,995.077300754575,6,"1988-11-30","1988-08-31","LW",1988,368.954429688312,-0.491732790260483,-0.194049310406802,"Regional Watershed",1819.22713411881,231944.084716981,304585.40638701
"14",235.206390380859,99.1087576055347,8.65372371673584,66.6666020661516,870.921691079236,6,"1989-04-01","1988-11-30","R",1988,1134.95600410369,-0.692113739296643,-0.580032710756282,"Regional Watershed",1819.22713411881,206814.6649,304585.40638701
"15",231.047485351562,29.217157566217,7.9329686164856,15.8862472682596,1368.06067324176,6,"1989-11-08","1989-07-24","F",1989,373.405078030977,-0.558832201906806,-0.17006502150551,"Regional Watershed",1736.97780160038,105842.16502,304367.353636718
"16",234.183853149414,153.827752488062,10.8396530151367,57.7256720201155,1011.40043204105,6,"1990-01-31","1989-11-08","LW",1989,488.163402686398,-0.846209479392355,-0.628983169840267,"Regional Watershed",1736.97780160038,170633.402377049,304367.353636718
"17",234.993408203125,93.5815120849053,8.22611141204834,54.0350521995748,1337.42377270787,6,"1990-04-01","1990-01-31","R",1990,600.99987341403,-0.832213613808938,-0.543571647811326,"Regional Watershed",1709.724816046,170633.402377049,304125.639711013
"18",228.725769042969,37.5881555240389,7.9312858581543,22.99793325154,1334.50626579576,6,"1990-06-16","1990-04-01","HW",1990,682.67855313074,-0.794285150131502,-0.165875112741265,"Regional Watershed",1709.724816046,211205.815584416,304125.639711013
"19",228.595016479492,22.2119069090068,7.94085788726807,16.523187432068,1250.46146194888,6,"1990-09-16","1990-06-16","F",1990,356.759790447947,-0.705684736931486,-0.0331898517851164,"Regional Watershed",1709.724816046,193947.482688172,304125.639711013
"20",235.232650756836,142.906033415942,8.86340808868408,63.8998821237616,965.402119392931,6,"1990-12-24","1990-09-16","LW",1990,307.16975559118,-0.661280964284586,-0.105319361065154,"Regional Watershed",1709.724816046,105842.16502,304125.639711013
"21",230.450546264648,45.1303711793829,8.19781970977783,20.5267600396328,1164.27437657974,6,"1991-04-09","1990-12-24","R",1990,941.854342961606,-0.992476568102591,-0.495790387127849,"Regional Watershed",1709.724816046,166458.514766355,304125.639711013
"22",232.376647949219,169.139878876199,8.92776298522949,39.0363404517826,209.001933199642,6,"1991-09-23","1991-07-09","F",1991,206.883236181884,-0.766790101963948,-0.233133049328447,"Regional Watershed",1704.489303153,211205.815584416,303926.352015788
"23",233.836624145508,213.59236229586,10.9240684509277,30.6340768402937,938.582212845632,6,"1991-12-16","1991-09-23","LW",1991,147.529612055535,-0.799471809080553,-0.119772536605172,"Regional Watershed",1704.489303153,170633.402377049,303926.352015788
"24",235.141967773438,204.37893503573,10.519024848938,39.4826860653524,639.053503752668,6,"1992-03-16","1991-12-16","R",1991,526.955122892881,-0.99052864705688,-0.492320578352679,"Regional Watershed",1704.489303153,105842.16502,303926.352015788
"25",232.689956665039,47.7888439045139,8.86948585510254,26.182989543661,1191.89738389257,6,"1992-06-16","1992-03-16","HW",1992,580.184537781997,-1.2226728804075,-0.142107854505812,"Regional Watershed",1925.36230241769,170633.402377049,304122.911412119
"26",234.539749145508,52.4531247311659,8.84745025634766,22.5303684282839,1203.43946785673,6,"1992-09-16","1992-06-16","F",1992,261.947503410996,-0.472763781486504,-0.0226170167313952,"Regional Watershed",1925.36230241769,145260.907333333,304122.911412119
"27",234.344848632812,208.283201430527,10.8396530151367,40.6355874966359,852.860431287734,6,"1992-12-16","1992-09-16","LW",1992,273.600866925803,-0.586634930823977,-0.0813068750434643,"Regional Watershed",1925.36230241769,166458.514766355,304122.911412119
"28",234.305969238281,89.1913267418369,10.0014953613281,52.8551758873257,1061.55817848616,6,"1993-03-16","1992-12-16","R",1992,678.85058541027,-0.88209732054483,-0.409067009169144,"Regional Watershed",1925.36230241769,166458.514766355,304122.911412119
"29",231.265350341797,29.0479766316291,8.0252857208252,18.8184987684755,1401.18775765307,6,"1993-06-16","1993-03-16","HW",1993,814.493175703893,-0.915979234724387,-0.131659210476282,"Regional Watershed",2086.23354554924,211205.815584416,303576.252079044
"30",225.44645690918,27.1855647385051,8.22608089447021,15.1965676320795,1422.27925104912,6,"1993-09-16","1993-06-16","F",1993,387.16166782525,-0.47107535776531,-0.055035342972881,"Regional Watershed",2086.23354554924,195011.916236559,303576.252079044
"31",228.595016479492,17.2509063224119,7.91269302368164,13.9518414299298,1343.07807620365,6,"1994-07-09","1994-04-09","HW",1994,844.475945687513,-0.840143797774068,-0.0657130988913722,"Regional Watershed",2189.76737614852,166458.514766355,303267.081297318
"32",225.480804443359,28.8525929668909,8.11107730865479,31.7358304518479,924.46231710673,6,"1994-09-23","1994-07-09","F",1994,237.109330255727,-0.467420872789307,-0.221685288578494,"Regional Watershed",2189.76737614852,193947.482688172,303267.081297318
"33",234.288208007812,69.3236107135109,10.8396530151367,46.9991215531606,1086.99809632526,6,"1994-12-24","1994-09-23","LW",1994,315.013318773554,-0.735121666430222,-0.287029779605809,"Regional Watershed",2189.76737614852,145260.907333333,303267.081297318
"34",234.548965454102,68.1018974302726,8.08841800689697,40.848367326646,1135.25286697474,6,"1995-04-09","1994-12-24","R",1994,716.918437318878,-0.96345093535547,-0.427342433434924,"Regional Watershed",2189.76737614852,152476.316514019,303267.081297318
"35",226.207916259766,29.8105461011647,7.94084692001343,25.010085474766,1212.26444562177,6,"1995-08-31","1995-07-01","F",1995,174.58916644402,-0.662838497364937,-0.328607394725377,"Regional Watershed",2249.71514130746,105842.16502,303247.266490477
"36",234.385482788086,158.838068727271,10.3069944381714,68.4344011982326,487.132364952523,6,"1996-03-08","1995-11-23","R",1995,908.061365360624,-0.677620434571585,-0.401520085246762,"Regional Watershed",2249.71514130746,211205.815584416,303247.266490477
"37",231.064987182617,24.0102112603062,7.91093254089355,18.859751138063,1105.58788394683,6,"1996-06-16","1996-03-08","HW",1996,1065.85798784885,-0.617867715927737,-0.145078289649635,"Regional Watershed",2445.08268301399,105842.16502,302939.200854309
"38",233.121459960938,32.3882032829857,8.00606250762939,19.5918393592425,1271.51203503495,6,"1996-09-16","1996-06-16","F",1996,401.671911142309,-0.57569691830109,-0.111756215643159,"Regional Watershed",2445.08268301399,199925.836989247,302939.200854309
"39",235.184616088867,196.886969535939,9.01115417480469,52.1969692140946,894.626597050151,6,"1996-12-16","1996-09-16","LW",1996,348.459440059561,-0.562918859803713,-0.0120379358255234,"Regional Watershed",2445.08268301399,211205.815584416,302939.200854309
"40",230.020523071289,16.2294991608062,7.89012956619263,9.00393071477684,1271.93668985582,6,"1997-06-16","1997-03-16","HW",1997,701.349478528357,-0.967950774353416,-0.18744501934095,"Regional Watershed",2904.16558958766,193947.482688172,303245.931064988
"41",215.641571044922,20.3111060376313,7.9254322052002,12.5735167958615,1394.42592173787,6,"1997-09-16","1997-06-16","F",1997,215.197892316139,-0.953152323065997,-0.279533353130261,"Regional Watershed",2904.16558958766,190923.818709677,303245.931064988
"42",231.758285522461,201.876908175953,10.0050439834595,42.6193065856844,701.92139482309,6,"1997-12-24","1997-09-16","LW",1997,193.598133651727,-0.93196624452213,-0.301793908979832,"Regional Watershed",2904.16558958766,83465.56137,303245.931064988
"43",229.268737792969,50.385112271966,8.04279518127441,26.5175905803355,1288.20684633461,6,"1998-08-31","1998-07-01","F",1998,217.685892380324,-0.477018772191339,-0.205423366020135,"Regional Watershed",3366.99903683224,193947.482688172,303177.30174949
"44",234.763793945312,142.261123666147,8.13782024383545,78.4219536855375,576.646957140287,6,"1999-04-01","1998-11-30","R",1998,1142.67740357959,-0.696811032569907,-0.378283843170008,"Regional Watershed",3366.99903683224,193947.482688172,303177.30174949
"45",224.285995483398,21.4147589636609,7.87919521331787,23.1323542045319,1296.15287677168,6,"1999-07-09","1999-04-01","HW",1999,968.820723160592,-0.520357939931768,-0.169187202851522,"Regional Watershed",3531.79381413166,195011.916236559,301213.530867362
"46",218.02033996582,24.3203071282192,7.9254322052002,16.1667428379031,1437.85106038275,6,"1999-09-23","1999-07-09","F",1999,307.908465089063,-0.364648164955124,-0.285834444894548,"Regional Watershed",3531.79381413166,83465.56137,301213.530867362
"47",232.807495117188,170.185023472765,10.9240684509277,59.116922495994,881.724964795098,6,"1999-12-24","1999-09-23","LW",1999,401.441983237031,-0.569111506139221,-0.133920185240848,"Regional Watershed",3531.79381413166,199925.836989247,301213.530867362
"48",234.482803344727,93.886862249767,9.0166072845459,68.3254288477756,896.172038734948,6,"2000-04-08","1999-12-24","R",1999,1090.25715017239,-0.610400277282801,-0.499236725815484,"Regional Watershed",3531.79381413166,190923.818709677,301213.530867362
"49",223.804244995117,17.1048846840503,7.87131690979004,13.6547791278863,1308.16431137515,6,"2000-07-16","2000-04-08","HW",2000,972.778126860793,-0.658269949624101,-0.146753385033087,"Regional Watershed",3555.67796656297,83465.56137,302028.044893656
"50",218.727478027344,24.7097934334501,7.94048643112183,14.4934466049788,1326.5741957042,6,"2000-10-16","2000-07-16","F",2000,334.876971502936,-0.663549993358914,-0.0459722263496319,"Regional Watershed",3555.67796656297,195011.916236559,302028.044893656
"51",233.335098266602,184.785725233675,10.8396530151367,54.6963257316675,902.849114169824,6,"2001-01-07","2000-10-16","LW",2000,307.223155018577,-0.671295946189316,-0.423886501519153,"Regional Watershed",3555.67796656297,195011.916236559,302028.044893656
"52",232.16357421875,86.6593942757707,8.78403949737549,58.2359446924632,1134.29531351915,6,"2001-03-24","2001-01-07","R",2001,694.773683866276,-0.981289757330907,-0.568440241977553,"Regional Watershed",3569.72174034332,152476.316514019,302020.943877945
"53",228.189437866211,24.9502318557906,7.88765478134155,20.5790587993479,1367.04374351093,6,"2001-06-16","2001-03-24","HW",2001,907.101902354463,-0.687505102544017,-0.186065871773793,"Regional Watershed",3569.72174034332,83465.56137,302020.943877945
"54",215.210922241211,19.3409516557546,7.91093254089355,10.0300004023097,1395.49285786429,6,"2001-09-16","2001-06-16","F",2001,326.762939832553,-0.675919217842309,-0.246734798382074,"Regional Watershed",3569.72174034332,195585.527419355,302020.943877945
"55",232.548919677734,172.915810347339,10.8396530151367,58.282267670458,812.186153811416,6,"2001-12-24","2001-09-16","LW",2001,267.635778441028,-0.746509702470225,-0.136456095879282,"Regional Watershed",3569.72174034332,104194.75157,302020.943877945
"56",235.037475585938,55.3326099765067,8.50539779663086,29.630173449919,1156.04499339717,6,"2002-04-09","2001-12-24","R",2001,957.850076377668,-0.799913666952712,-0.504012094481747,"Regional Watershed",3569.72174034332,161312.87371028,302020.943877945
"57",216.289443969727,20.5495612085662,7.89012956619263,12.9882042417665,1357.79718736301,6,"2002-07-09","2002-04-09","HW",2002,794.858250410491,-0.777971619832719,-0.149121028544616,"Regional Watershed",3498.13920672398,195011.916236559,301948.036267249
"58",218.068817138672,26.7536901760844,8.11684131622314,15.692749933346,1398.30032503074,6,"2002-09-23","2002-07-09","F",2002,181.749049288279,-0.633282921241518,-0.169192078812659,"Regional Watershed",3498.13920672398,152476.316514019,301948.036267249
"59",234.03596496582,161.602802808423,10.8396530151367,65.1997349875666,899.290978252027,6,"2002-12-24","2002-09-23","LW",2002,352.077811096398,-0.738392206357808,-0.201105924293223,"Regional Watershed",3498.13920672398,195011.916236559,301948.036267249
"60",233.58740234375,106.53181397594,9.20327568054199,67.7028090377783,936.641442330244,6,"2003-04-09","2002-12-24","R",2002,691.298526691926,-1.06348663969787,-0.432323463815444,"Regional Watershed",3498.13920672398,154128.397345794,301948.036267249
"61",226.042434692383,32.6532805495323,7.89422130584717,21.9251037233304,1320.42295798304,6,"2003-07-09","2003-04-09","HW",2003,870.742560881045,-0.646194335635964,-0.203848850384958,"Regional Watershed",3573.25024703522,166458.514766355,302387.632207578
"62",228.181823730469,23.0565901336635,8.09087085723877,17.2894160701012,1342.42479853077,6,"2003-09-23","2003-07-09","F",2003,325.626327320218,-0.48571876222679,-0.155203628736371,"Regional Watershed",3573.25024703522,193947.482688172,302387.632207578
"63",235.165130615234,176.990090801128,10.8287181854248,63.959917995316,1006.59397251603,6,"2003-12-16","2003-09-23","LW",2003,247.835558531468,-0.619305282894896,-0.0268583259517578,"Regional Watershed",3573.25024703522,166458.514766355,302387.632207578
"64",235.435546875,163.354273136293,8.86829280853271,69.0468682634471,1014.06347030632,6,"2004-03-16","2003-12-16","R",2003,665.261006245529,-0.744457580709422,-0.508997833158556,"Regional Watershed",3573.25024703522,105842.16502,302387.632207578
"65",232.097457885742,39.0570699857087,8.05607986450195,26.2360098253593,1362.4633823803,6,"2004-06-16","2004-03-16","HW",2004,974.073746912908,-0.700486709866987,-0.11777789268461,"Regional Watershed",3708.5390271687,166458.514766355,302627.467027805
"66",232.079147338867,39.5426480549473,8.24106025695801,17.6886966321568,1344.38707047379,6,"2004-09-16","2004-06-16","F",2004,383.8218586452,-0.590323218162493,-0.183337060564373,"Regional Watershed",3708.5390271687,180681.396129032,302627.467027805
"67",233.754531860352,178.500246112925,10.6050662994385,49.8627221112544,937.833274427502,6,"2004-12-16","2004-09-16","LW",2004,241.568492072929,-0.500932171892736,0.0476800476891037,"Regional Watershed",3708.5390271687,105842.16502,302627.467027805
"68",234.291229248047,161.74315852028,8.28842353820801,65.5595487120815,993.895188068325,6,"2005-03-16","2004-12-16","R",2004,806.887367758088,-0.583437689112422,-0.301313751143012,"Regional Watershed",3708.5390271687,166458.514766355,302627.467027805
"69",232.692810058594,44.4539171661687,7.93243837356567,28.148291897118,1458.88272908767,6,"2005-06-08","2005-03-16","HW",2005,926.2884661239,-0.906504327997352,-0.12093467465045,"Regional Watershed",3902.49980354559,83465.56137,302076.135785547
"70",217.841995239258,22.8267614249223,7.9329686164856,11.6316184992787,1459.33981031562,6,"2005-08-23","2005-06-08","F",2005,343.857889397441,-0.485095278088023,-0.437849163495388,"Regional Watershed",3902.49980354559,83465.56137,302076.135785547
"71",233.889144897461,149.220425919128,10.8287181854248,67.5614731460608,840.001407327343,6,"2005-11-23","2005-08-23","LW",2005,231.158061895645,-0.603922803202928,-0.0791123810577413,"Regional Watershed",3902.49980354559,190923.818709677,302076.135785547
"72",228.595016479492,40.9750936511667,8.09407520294189,19.8912808274454,1265.58187011044,6,"2006-03-09","2005-11-23","R",2005,909.110145409743,-0.727600013097203,-0.41017636211,"Regional Watershed",3902.49980354559,145596.39382243,302076.135785547
"73",232.545425415039,25.3414815797391,7.90027952194214,20.9789814826026,1431.32167567294,6,"2006-06-16","2006-03-09","HW",2006,1160.79081986024,-0.686086575794826,-0.118746828760609,"Regional Watershed",4023.12686220997,229704.0398,301691.343021578
"74",217.618255615234,23.6324882230771,8.04512786865234,9.59530750493951,1525.186352572,6,"2006-09-16","2006-06-16","F",2006,361.982533100102,-0.544453627009617,-0.36276194988406,"Regional Watershed",4023.12686220997,197713.982903226,301691.343021578
