"","TSS_mean","area_km2","precipitation","mean_discharge","u_wind","v_wind","anthropogenic_km2"
"TSS_mean",1,-0.500891265597148,-0.105169340463458,0.0182362767576218,0.0623885918003565,0.254901960784314,-0.176785996151367
"area_km2",-0.500891265597148,1,-0.0089126559714795,-0.0838868730850605,-0.0196078431372549,-0.226381461675579,-0.0267857569926313
"precipitation",-0.105169340463458,-0.0089126559714795,1,0.0328252981637193,0.483065953654189,-0.0017825311942959,0.0660715339151572
"mean_discharge",0.0182362767576218,-0.0838868730850605,0.0328252981637193,1,0.00364725535152437,-0.069297851678963,0.00730754826609323
"u_wind",0.0623885918003565,-0.0196078431372549,0.483065953654189,0.00364725535152437,1,0.0445632798573975,-0.0339286255239996
"v_wind",0.254901960784314,-0.226381461675579,-0.0017825311942959,-0.069297851678963,0.0445632798573975,1,-0.351786275169891
"anthropogenic_km2",-0.176785996151367,-0.0267857569926313,0.0660715339151572,0.00730754826609323,-0.0339286255239996,-0.351786275169891,1
