"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"TSS_mean",-0.892412718280023,-0.269773410168285,0.122127568049984,0.15635368618678,0.0815124127023702
"area_km2",0.861411195318284,0.359347605417109,0.0620484622090717,-0.195713372832578,-0.0606430432805412
"precipitation",0.512323659075687,-0.351314526298225,-0.420359757617651,0.595307549719158,0.285358976348666
"u_wind",-0.123518543635154,0.704462986292583,0.148753114766183,0.572587481529499,-0.372021600270766
"v_wind",-0.211775280078928,0.766472845536723,0.0484648710353007,-0.0227188164904716,0.603530453478402
"anthropogenic_km2",0.360408710808574,-0.335658605714467,0.831102647865179,0.191575432039472,0.168271237672089
