"","eigenvalue","percentage of variance","cumulative percentage of variance"
"comp 1",1.99090527751727,33.1817546252879,33.1817546252879
"comp 2",1.52174571233259,25.3624285388765,58.5441831641644
"comp 3",0.910675424530305,15.1779237421718,73.7221069063361
"comp 4",0.782214993030458,13.0369165505076,86.7590234568437
"comp 5",0.622715886277209,10.3785981046202,97.1376215614639
"comp 6",0.171742706312166,2.8623784385361,100
