"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"TSSmean",0.79640045974794,0.072777692833826,0.0149151428778034,0.0244464751841941,0.00664427342456153
"areakm2",0.742029247419675,0.12913070151901,0.0038500116625106,0.0383037243055035,0.00367757869832559
"precipitation",0.262475531648701,0.123421896388146,0.17670232582437,0.354391078752628,0.0814297453827583
"uwind",0.0152568306217494,0.496268099056263,0.0221274891526413,0.327856424004294,0.138400071068022
"vwind",0.0448487692525083,0.587480622945162,0.00234884372446833,0.000516144622727723,0.364249008275846
"anthropogenickm2",0.129894438826699,0.11266669959018,0.690731611288512,0.0367011461611105,0.0283152094276965
