TSS Correlation,COEF,REGIONAL,REGIONAL
Surface Area,-0.122689075630252,0.299873575692399,0.172762526688831
,0.0218487394957983,0.85352818297692,0.174036101495381
Discharge,-0.394957983193277,0.0008458546226604,0.159925000557733
Eastward Wind Speed,-0.109243697478992,0.355958698846574,0.173035800688857
Northward Wind Speed,0.166386554621849,0.159741415695152,0.171651118546353
Anthropic Area,-0.14129525602834,0.232853470998066,0.172331221834308
