"","variable","P","trend"
"1","area_km2",0.02,"monotonic"
"2","TSS_mean",0.037,"monotonic"
"3","precipitation",0.973,"no-trend"
"4","mean_discharge",0.329,"no-trend"
"5","anthropogenic_km2",0,"linear"
"6","natural_km2",0,"linear"
"7","u_wind",0.455,"no-trend"
"8","v_wind",0.019,"linear"
