,Model,Group,Feature,Params,r2,mae,mse,mape,exp_var,r2_std,mae_std,mse_std,mape_std,exp_var_std
0,SVM_0,multi_band,nir_red,"<bound method BaseEstimator.get_params of SVR(degree=2, kernel='poly')>",0.6540689818959271,21.696778183284316,1235.229938364668,0.4709302316764957,0.6631620223420838,0.15118487361609748,4.1327182789257915,500.17497007465397,0.07906992386433609,0.1510795759794638
1,SVM_0,multi_band,nir_red_green,"<bound method BaseEstimator.get_params of SVR(degree=2, kernel='poly')>",0.6409546362236267,22.005067843891535,1276.5615010458207,0.47756776636289305,0.6498318340594754,0.1608966044569062,4.1394139731756,507.96388027267915,0.08205680459059755,0.1614624380527227
2,SVM_0,multi_band,all_bands,"<bound method BaseEstimator.get_params of SVR(degree=2, kernel='poly')>",0.6436067705014918,21.54319595105671,1333.4249977111458,0.4462998740724518,0.6565434929589573,0.11786991118873823,4.253022517333588,579.4639890181389,0.08212987941116791,0.11814666954786855
3,SVM_1_2,multi_band,nir_red,"<bound method BaseEstimator.get_params of SVR(C=10.0, degree=2)>",0.6271167301342675,21.376274305139297,1485.9853408002834,0.4805215673836395,0.6546020451084478,0.09959540429208316,5.018983047777212,797.5911210613111,0.13372209816757988,0.09371340306086892
4,SVM_1_2,multi_band,nir_red_green,"<bound method BaseEstimator.get_params of SVR(C=10.0, degree=2)>",0.5977015609973042,21.9166564025268,1633.7612506098278,0.48598716813169335,0.6275715580517269,0.09815239363934511,5.385968234667374,891.114529104055,0.1413479739254432,0.09255211711489891
5,SVM_1_2,multi_band,all_bands,"<bound method BaseEstimator.get_params of SVR(C=10.0, degree=2)>",0.59576394941269,21.719425618342292,1695.5185622946672,0.44304374857629314,0.6256725539789476,0.08530050505023418,5.6987944030792015,942.9538972212289,0.12230445813538837,0.07666095831408275
