Model,Group,Feature,Params,r2,mae,mse,mape,exp_var,r2_std,mae_std,mse_std,mape_std,exp_var_std
RF_GEE,multi_band,nir_red,"{'maxNodes': None, 'numberOfTrees': 300, 'bagFraction': 0.5}",0.7201537746363608,22.217380901129424,1476.5141185031523,0.49544909659446645,0.727809990605248,0.08263600464847738,5.332810808854961,867.4288792532384,0.08570627141073277,0.08051545205841444
RF_GEE,multi_band,nir_red_green,"{'maxNodes': None, 'numberOfTrees': 300, 'bagFraction': 0.5}",0.69659009871043,22.49976215900261,1634.9083093533202,0.4863491061979938,0.704711431683098,0.0920254705484704,5.670967369495226,1031.335857755042,0.09684277300967342,0.09040174251565421
RF_GEE,multi_band,all_bands,"{'maxNodes': None, 'numberOfTrees': 300, 'bagFraction': 0.5}",0.7289468864115403,21.011731285961357,1451.327556290183,0.45863303185809157,0.7373347501226253,0.07345094131479986,5.134711667056843,864.6171945458312,0.10518266308237015,0.07171702459177809
SVM_GEE,multi_band,nir_red,"{'svmType': 'EPSILON_SVR', 'kernelType': 'SIGMOID', 'gamma': 0.1}",-0.14539824311222604,42.02135787480117,6109.279639007404,0.9721814962805715,5.5862198195527625e-05,0.08333431743051246,11.332672365848074,3216.306632499594,0.24335001255337385,1.2115606020183887e-05
SVM_GEE,multi_band,nir_red_green,"{'svmType': 'EPSILON_SVR', 'kernelType': 'SIGMOID', 'gamma': 0.1}",-0.14539167198092282,42.02099792470874,6109.246373560925,0.9721517274944705,6.41264681356779e-05,0.08333678652758744,11.332648484089896,3216.292132034065,0.24333476459341102,1.4504546721062267e-05
SVM_GEE,multi_band,all_bands,"{'svmType': 'EPSILON_SVR', 'kernelType': 'SIGMOID', 'gamma': 0.1}",-0.14539166082458949,42.02094518441054,6109.245355088497,0.9721461075862761,6.472584671187165e-05,0.0833371982463326,11.332651052772796,3216.289980136939,0.24333149336711762,1.4637859128663404e-05
GBR_GEE,multi_band,nir_red,"{'numberOfTrees': 500, 'shrinkage': None, 'samplingRate': 0.6, 'loss': 'LeastAbsoluteDeviation'}",0.7017225534993764,22.330062517475074,1607.3599771861439,0.49681667660526596,0.7125380838793598,0.08350189953291395,5.85057197076206,1004.8470748133426,0.10976386796510779,0.08088148993238972
GBR_GEE,multi_band,nir_red_green,"{'numberOfTrees': 500, 'shrinkage': None, 'samplingRate': 0.6, 'loss': 'Huber'}",0.7423228266506741,21.26211785583427,1388.2192168050638,0.48078475067553617,0.7518791031306,0.06536219541681963,5.218513510024032,854.6503709406626,0.09681019292292953,0.06478654697495632
GBR_GEE,multi_band,all_bands,"{'numberOfTrees': 500, 'shrinkage': None, 'samplingRate': 0.6, 'loss': 'Huber'}",0.7479654401102958,20.55299717362922,1366.3851913339136,0.45664003286944166,0.7569233011892728,0.06462179572159114,5.114120593381714,842.2566047730584,0.0953157761494489,0.0638596857948794
