,Model,Group,Feature,Params,r2,mae,mse,mape,exp_var
0,SVM,multi_band,nir_red,"{'C': 1.0, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",0.6540689818959271,21.696778183284316,1235.229938364668,0.4709302316764957,0.6631620223420838
1,SVM,multi_band,nir_red_green,"{'C': 10.0, 'degree': 2, 'gamma': 'scale', 'kernel': 'rbf'}",0.5977015609973042,21.9166564025268,1633.761250609828,0.48598716813169335,0.6275715580517269
2,SVM,multi_band,all_bands,"{'C': 10.0, 'degree': 2, 'gamma': 'scale', 'kernel': 'rbf'}",0.59576394941269,21.719425618342292,1695.5185622946672,0.44304374857629314,0.6256725539789476
