,Model,Group,Feature,Params,r2,mae,mse,mape,exp_var,r2_std,mae_std,mse_std,mape_std,exp_var_std,rmse,rmse_std,water_period,perf_wins,stab_wins,total_wins
0,GBR_GEE,multi_band,all_bands,"{'numberOfTrees': 500, 'shrinkage': None, 'samplingRate': 0.6, 'loss': 'Huber'}",0.7479654401102958,20.55299717362922,1366.3851913339136,0.4566400328694416,0.7569233011892728,0.0646217957215911,5.114120593381714,842.2566047730584,0.0953157761494489,0.0638596857948794,36.964647858919385,29.02165751250363,,2,2,4
1,polynomial2,single_band,nir,,0.6887488149193766,21.36301537780256,1114.5277851731178,0.6323024062000075,0.6968353059631468,0.1322529256126867,4.060373867239785,498.35397490770265,0.1760610159683832,0.1294590687368715,33.3845441061147,22.32384319304592,,1,1,2
2,RF,multi_band,all_bands,"{'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 300, 'oob_score': False, 'warm_start': True}",0.689028484,20.13179149,1240.570867,0.427212761,0.69533881,0.092499905,4.64093643,615.9310855,0.067505173,0.094619552,35.221738557317124,24.817958930983828,,1,0,1
3,GBR,multi_band,nir_red_green,"{'learning_rate': 0.1, 'loss': 'absolute_error', 'max_depth': 2, 'n_estimators': 100, 'warm_start': True}",0.651852563,20.5217733,1307.778076,0.380724982,0.669521461,0.147635536,4.561880891,671.2286538,0.05448784,0.130381313,36.163214403589734,25.90808085906789,,1,0,1
4,GBR,multi_band,nir_red,"{'learning_rate': 0.1, 'loss': 'absolute_error', 'max_depth': 2, 'n_estimators': 100, 'warm_start': True}",0.639406848,21.71596262,1345.029363,0.401050515,0.667058948,0.118093228,4.829700895,603.7203204,0.046643334,0.114726897,36.67464196144252,24.570720795288036,,0,1,1
5,ols,multi_band,all_bands,,0.6169792912393846,25.21131880491636,1304.6309371350508,0.6980963347327999,0.6281494420992748,0.2344248759692367,4.262585350927539,472.0222981594779,0.209410541220985,0.2236779983002729,36.1196752080504,21.726074154330732,,0,1,1
6,GBR_GEE,multi_band,nir_red_green,"{'numberOfTrees': 500, 'shrinkage': None, 'samplingRate': 0.6, 'loss': 'Huber'}",0.7423228266506741,21.26211785583427,1388.2192168050638,0.4807847506755361,0.7518791031306,0.0653621954168196,5.218513510024032,854.6503709406626,0.0968101929229295,0.0647865469749563,37.25881394791122,29.234403892343394,,0,0,0
7,RF_GEE,multi_band,all_bands,"{'maxNodes': None, 'numberOfTrees': 300, 'bagFraction': 0.5}",0.7289468864115403,21.01173128596136,1451.327556290183,0.4586330318580915,0.7373347501226253,0.0734509413147998,5.134711667056843,864.6171945458312,0.1051826630823701,0.071717024591778,38.09629320931609,29.404373731569784,,0,0,0
8,RF_GEE,multi_band,nir_red,"{'maxNodes': None, 'numberOfTrees': 300, 'bagFraction': 0.5}",0.7201537746363608,22.217380901129424,1476.5141185031523,0.4954490965944664,0.727809990605248,0.0826360046484773,5.332810808854961,867.4288792532384,0.0857062714107327,0.0805154520584144,38.42543582710744,29.45214557979161,,0,0,0
9,GBR_GEE,multi_band,nir_red,"{'numberOfTrees': 500, 'shrinkage': None, 'samplingRate': 0.6, 'loss': 'LeastAbsoluteDeviation'}",0.7017225534993764,22.330062517475078,1607.359977186144,0.4968166766052659,0.7125380838793598,0.0835018995329139,5.85057197076206,1004.8470748133426,0.1097638679651077,0.0808814899323897,40.09189415812309,31.699322939352232,,0,0,0
10,KRR,multi_band,nir_red,"{'alpha': 0.001, 'degree': 2, 'gamma': 100.0, 'kernel': 'poly'}",0.697487189,20.37651102,1132.009309,0.424498244,0.705409859,0.111018418,4.414849677,554.5639613,0.070104167,0.11022072,33.64534602289,23.549181754362507,,0,0,0
11,RF_GEE,multi_band,nir_red_green,"{'maxNodes': None, 'numberOfTrees': 300, 'bagFraction': 0.5}",0.69659009871043,22.49976215900261,1634.9083093533202,0.4863491061979938,0.704711431683098,0.0920254705484704,5.670967369495226,1031.335857755042,0.0968427730096734,0.0904017425156542,40.43399942317505,32.11441822227272,,0,0,0
12,polynomial2,multi_band,nir_red,,0.6918902052408332,20.426359677374595,1162.2093010315907,0.4213897623107902,0.7002238119711245,0.1141911052784036,4.46134610896504,592.6936600598256,0.0663325030909523,0.1134974363489081,34.09119095941928,24.34530057443994,,0,0,0
13,RF,multi_band,nir_red,"{'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 300, 'oob_score': False, 'warm_start': True}",0.674621335,21.55087485,1228.053203,0.461392673,0.685097872,0.10837202,4.583862459,544.236386,0.071357045,0.106744941,35.04359004154683,23.328874512071945,,0,0,0
14,polynomial3,single_band,nir,,0.6666481425125492,21.45896422335459,1207.2759801506038,0.6260026861326617,0.6748906973187571,0.1508274400243599,4.098694061115544,608.167893894022,0.1799170428295983,0.1490068273790736,34.74587716766701,24.66106027513866,,0,0,0
15,polynomial2,multi_band,all_bands,,0.663184273033206,21.07744531536422,1278.3282668254346,0.4834901988523345,0.6718942124141248,0.1547280031569678,4.7983107125021,721.3618814086651,0.0894242291085675,0.1549699899164527,35.75371682532369,26.85818090282112,,0,0,0
16,RF,multi_band,nir_red_green,"{'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 100, 'oob_score': False, 'warm_start': True}",0.661864095,21.225809,1312.85591,0.437524219,0.666409121,0.095969484,4.302042144,639.8741254,0.063390799,0.100542926,36.2333535571854,25.295733343787447,,0,0,0
17,SVM,multi_band,nir_red,"{'C': 1.0, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",0.654068982,21.69677818,1235.229938,0.470930232,0.663162022,0.151184874,4.132718279,500.1749701,0.079069924,0.151079576,35.1458381319894,22.364591883153157,,0,0,0
18,polynomial3,multi_band,nir_red,,0.6529006267497356,21.340580268643148,1337.1514269963932,0.441353502970763,0.661350346047393,0.1478189775616024,4.838771849612121,776.7979489031677,0.066586874354917,0.1474740921580071,36.567081193286306,27.871095222527007,,0,0,0
19,polynomial2,multi_band,nir_red_green,,0.652849620140249,21.251293937333276,1297.4750864416474,0.446669311195669,0.661934510612971,0.1602546905831741,4.868439332939358,717.0961067533697,0.0764024077554285,0.1578688111328531,36.02048148542225,26.778650204096728,,0,0,0
