,Model,Group,Feature,r2,mae,mse,mape,exp_var
0,ols,single_band,nir,0.709850228334824,26.083356202612023,1470.6103486310574,0.6661250391492723,0.709850228334824
1,ols,single_band,red,0.3348421205868899,37.97414502002991,3371.321146746267,0.9490280170476786,0.3348421205868899
2,ols,single_band,nir_red_ratio,0.00821299816553056,48.912986633174484,5026.825353557892,2.0213428942324976,0.008212998165530783
3,ols,single_band,red_nir_ratio,0.13953370638212748,44.745209984164525,4361.232575784683,1.8717215261998383,0.1395337063821276
4,ols,multi_band,nir_red,0.7100160834231856,26.104731941748675,1469.7697199863478,0.6724157514772291,0.7100160834231857
5,ols,multi_band,nir_red_green,0.7111387938490812,25.863340461669583,1464.0793154709056,0.6597998020634002,0.7111387938490812
6,ols,multi_band,all_bands,0.719092023460775,25.166131532262654,1423.7687486044497,0.6237839310455462,0.719092023460775
7,ols,multi_band,location,0.7222123853269947,24.92412435285117,1407.9533425622496,0.6187986098659695,0.7222123853269948
8,ols,multi_band,period,0.7237108976656863,24.49592990817419,1400.3582038854763,0.5891457272776691,0.7237108976656863
9,ols,multi_band,period_location,0.7269154205925927,24.372351758557784,1384.1162315010477,0.5984781815366795,0.7269154205925927
10,polynomial2,single_band,nir,0.7793424470569922,21.526140512395127,1118.3923357901424,0.5991826834492819,0.7793424470569921
11,polynomial2,single_band,red,0.3408618073397922,36.27544420204008,3340.8106501033426,0.7853729100659609,0.34086180733979243
12,polynomial2,single_band,nir_red_ratio,0.1776738141909714,41.05903632903345,4167.9212492939105,1.762363458698868,0.1776738141909714
13,polynomial2,single_band,red_nir_ratio,0.2584927557683496,41.9339633039139,3758.2942791708588,1.9061713148869843,0.2584927557683496
14,polynomial2,multi_band,nir_red,0.7886871945999461,19.981608158784308,1071.0289263235618,0.410147602643196,0.7886871945999461
15,polynomial2,multi_band,nir_red_green,0.7938197105694598,19.792725680933525,1045.0150126955643,0.4226653541985336,0.7938197105694598
16,polynomial2,multi_band,all_bands,0.805021985332669,19.291520617836156,988.2368146620514,0.43975742042511157,0.805021985332669
17,polynomial2,multi_band,location,0.8091651177121953,19.35604711981739,967.2375448087189,0.45356977978332325,0.8091651177121953
18,polynomial2,multi_band,period,0.8204377694223373,17.909971453443376,910.1026445594146,0.3905383862426977,0.8204377694223373
19,polynomial2,multi_band,period_location,0.8247830462282808,18.025063085571777,888.0788152735472,0.4196334650186797,0.8247830462282808
20,polynomial3,single_band,nir,0.7794841504510401,21.459989178329582,1117.6741188619433,0.5952588976165495,0.7794841504510401
21,polynomial3,single_band,red,0.3556382768881796,35.638149806018035,3265.9168154145245,0.7812067302315254,0.3556382768881796
22,polynomial3,single_band,nir_red_ratio,0.3419021440770701,37.135174922584355,3335.5377527196174,1.4656088457343535,0.3419021440770702
23,polynomial3,single_band,red_nir_ratio,0.29157552077902116,37.87100325623234,3590.6158546564816,1.840902044285422,0.2915755207790214
24,polynomial3,multi_band,nir_red,0.7897814560208677,20.059027315132234,1065.482714239783,0.4238251469501306,0.7897814560208677
25,polynomial3,multi_band,nir_red_green,0.8355125682750075,18.67974020716796,833.6967419490512,0.41921529773432625,0.8355125682750075
26,polynomial3,multi_band,all_bands,0.8583633755314583,17.58194322780112,717.8785097545112,0.3973309853510797,0.8583633755314584
27,polynomial3,multi_band,location,0.8707083544343086,16.88637637379658,655.308570016238,0.3738703429607845,0.8707083544343086
28,polynomial3,multi_band,period,0.8963486795808416,14.299510496072987,525.3517987723535,0.3267591420638306,0.8963486795808417
29,polynomial3,multi_band,period_location,0.916555259489776,13.132584653621231,422.93570740692394,0.336974100636542,0.916555259489776
