Model,Group,Feature,Params,r2,mae,mse,mape,exp_var
SVM_GEE,multi_band,nir_red,"{'svmType': 'EPSILON_SVR', 'kernelType': 'SIGMOID', 'gamma': 0.1}",-0.14349789954737593,44.935200411733796,6367.009845953154,1.0593895833273768,5.482075647718076e-05
SVM_GEE,multi_band,nir_red_green,"{'svmType': 'EPSILON_SVR', 'kernelType': 'SIGMOID', 'gamma': 0.1}",-0.1434936561747457,44.93478898921554,6366.995047061193,1.0593524408679382,6.286984261048013e-05
SVM_GEE,multi_band,all_bands,"{'svmType': 'EPSILON_SVR', 'kernelType': 'SIGMOID', 'gamma': 0.1}",-0.14349456192657478,44.93472014128518,6367.001224821902,1.0593441167398807,6.325815659658507e-05
SVM_GEE,multi_band,location,"{'svmType': 'EPSILON_SVR', 'kernelType': 'SIGMOID', 'gamma': 0.1}",-0.136118138593396,44.74612739413665,6325.408963801942,1.0565530839697246,0.0036650616217110688
SVM_GEE,multi_band,period,"{'svmType': 'EPSILON_SVR', 'kernelType': 'POLY', 'degree': 4, 'gamma': 0.1}",0.042754280285228895,41.385689956595364,5387.775919007456,1.0854015821741925,0.14161929835996498
SVM_GEE,multi_band,period_location,"{'svmType': 'EPSILON_SVR', 'kernelType': 'POLY', 'degree': 4, 'gamma': 0.1}",0.20442180488032952,38.65786795325846,4491.532860376337,1.1102699909215987,0.2623539905920148
