,Model,Group,Feature,Params,r2,mae,mse,mape,exp_var,r2_std,mae_std,mse_std,mape_std,exp_var_std
0,RF_6_8,multi_band,nir_red,"<bound method BaseEstimator.get_params of RandomForestRegressor(criterion='absolute_error', max_depth=5,
                      max_features='sqrt', n_estimators=300)>",0.6746213352441768,21.550874851937188,1228.0532031475982,0.4613926733615141,0.6850978717723676,0.10837201952394068,4.583862458558116,544.2363860225403,0.07135704522018983,0.10674494062093261
1,RF_6_8,multi_band,nir_red_green,"<bound method BaseEstimator.get_params of RandomForestRegressor(criterion='absolute_error', max_depth=5,
                      max_features='sqrt', n_estimators=300)>",0.662133908433622,21.21411831434545,1278.4580193418067,0.44067141296123485,0.6741947664343397,0.1031754554227928,4.643665281445521,677.002677711694,0.06296716559055786,0.10233522353731073
2,RF_6_8,multi_band,all_bands,"<bound method BaseEstimator.get_params of RandomForestRegressor(criterion='absolute_error', max_depth=5,
                      max_features='sqrt', n_estimators=300)>",0.6890284838078954,20.131791492362176,1240.5708671800803,0.42721276128103086,0.6953388096964208,0.09249990514866027,4.640936430005987,615.9310855099488,0.06750517335416253,0.09461955182657421
3,RF_7,multi_band,nir_red,"<bound method BaseEstimator.get_params of RandomForestRegressor(criterion='absolute_error', max_depth=5,
                      max_features='sqrt')>",0.6751876038787599,21.55668364759345,1248.1160258633013,0.46271632172701826,0.6757698595330526,0.10865471726265469,4.5016102647987175,557.5329272455544,0.07051772022672533,0.10766945654337313
4,RF_7,multi_band,nir_red_green,"<bound method BaseEstimator.get_params of RandomForestRegressor(criterion='absolute_error', max_depth=5,
                      max_features='sqrt')>",0.6618640952578919,21.22580900345622,1312.8559096368838,0.43752421885595727,0.6664091212709683,0.09596948390669423,4.302042143932331,639.8741253523511,0.06339079893366871,0.1005429256145306
5,RF_7,multi_band,all_bands,"<bound method BaseEstimator.get_params of RandomForestRegressor(criterion='absolute_error', max_depth=5,
                      max_features='sqrt')>",0.6786755060045856,20.177820139528922,1226.4513419444152,0.4377945411063287,0.6912701222468666,0.1018178961910354,4.626028056940364,649.6085939589254,0.06245410518293098,0.09111202959398715
