,area_km2,mean_SPM,max_SPM,min_SPM,stdDev_SPM,time_start,year,water_period,mean_precipitation,mean_discharge,mean_u__wind,mean_v__wind,time_finish
0,988.055822576957,73.77907445040164,306.0490417480469,6.64403247833252,52.140711383937145,2000-01-13,2000,R,421.0858726153694,149214.789,-0.7036363619251738,-0.6949898898832795,2000-02-29
1,1343.5451424328216,20.859878742747316,255.0543365478516,5.296957015991211,15.5932351293514,2000-02-29,2000,HW,1644.4377249971485,183025.31028530464,-0.6705230178552816,-0.2341713216573519,2000-08-24
2,983.2276572204636,134.03811756789975,306.0490417480469,8.780908584594727,74.67307385935673,2000-09-28,2000,LW,336.85405811512675,136244.9202111729,-0.681570323810716,-0.3358321814520561,2001-01-05
3,953.8746699131158,114.03565148061634,306.0490417480469,6.31196928024292,75.57444796915432,2001-01-05,2001,R,390.5503163905093,149854.9129534884,-0.9281176282072346,-0.7125551302584032,2001-02-14
4,1398.9299847497607,20.702566910677504,282.4901123046875,5.342865943908691,20.977717243054677,2001-02-14,2001,HW,1463.7563772547544,190720.28625301324,-0.7768312361437391,-0.2619788276381581,2001-08-05
5,1380.9679234466091,23.567422982341924,282.4901123046875,6.248684883117676,12.88539520010177,2001-08-05,2001,F,57.79776335579829,162837.60815999997,-0.5542258897508974,-0.1903134165867024,2001-09-07
6,741.9074228497971,186.8577550193656,296.3789978027344,7.729392051696777,65.01826456545649,2001-09-07,2001,LW,299.4283536040809,103080.74733037633,-0.7751943677570957,-0.1442840019676915,2001-12-27
7,1120.0728803269735,90.2058465017896,298.1380615234375,6.858320713043213,62.66566075700102,2001-12-27,2001,R,482.5861777946601,148226.72101190477,-0.8490521102903014,-0.659269255081026,2002-02-26
8,1389.4015545729806,19.9500789082728,231.26675415039065,5.67499589920044,11.94524414274765,2002-02-26,2002,HW,1388.2898214127506,180563.7349375079,-0.7619634067731251,-0.2500412372965089,2002-08-19
9,1399.7012571006728,39.487863916431394,294.67303466796875,6.048137187957764,23.890194223305866,2002-08-19,2002,F,40.46402089064799,175660.20759999997,-0.7827225638355271,-0.0768115706668456,2002-09-18
10,902.4260476378596,174.63073530096503,306.0490417480469,9.325787544250488,70.36650899054759,2002-09-18,2002,LW,352.94758851701005,116004.58807750206,-0.782836057986887,-0.2216331869655245,2002-12-31
11,942.6308025525292,117.09158785396124,306.0490417480469,7.038229942321777,80.91061253409002,2002-12-31,2002,R,449.1773722461971,150666.27463608026,-1.1563470564219924,-0.530119918958053,2003-03-14
