,TSS_max,TSS_mean,TSS_min,TSS_stdDev,area_km2,band_count,time_finish,time_start,water_period,year,mean_discharge,mean_loc_chirps,u_wind_loc,v_wind_loc,watershed,anthropogenic_km2,natural_km2
28,235.20639038085935,99.10875760553472,8.65372371673584,66.66660206615157,870.9216910792363,6.0,1989-04-01,1988-11-30,R,1988,,1260.5653135398925,-1.402349650446596,-0.5845063128391399,Local Watershed,93.98419634021784,1759.578979844577
32,231.0474853515625,29.21715756621701,7.932968616485596,15.886247268259568,1368.0606732417646,6.0,1989-11-08,1989-07-24,F,1989,,232.73910516574963,-1.849164868295042,0.1026030251698532,Local Watershed,69.07133034756455,1691.7605305189825
34,234.1838531494141,153.8277524880621,10.83965301513672,57.725672020115546,1011.4004320410482,6.0,1990-01-31,1989-11-08,LW,1989,,424.26371537884353,-1.7216822121557107,-0.2824903207731126,Local Watershed,69.07133034756455,1691.7605305189825
36,234.993408203125,93.5815120849053,8.22611141204834,54.03505219957476,1337.4237727078732,6.0,1990-04-01,1990-01-31,R,1990,170633.40237704918,637.7993680099855,-2.0153600104913605,-0.4938582024695412,Local Watershed,69.8748712639179,1691.5570553149555
37,228.72576904296875,37.58815552403891,7.931285858154297,22.99793325154,1334.5062657957635,6.0,1990-06-16,1990-04-01,HW,1990,211205.8155844156,508.0735303359165,-2.1788762690783043,-0.0070966105479469,Local Watershed,69.8748712639179,1691.5570553149555
38,228.5950164794922,22.21190690900676,7.940857887268066,16.523187432068035,1250.4614619488846,6.0,1990-09-16,1990-06-16,F,1990,193947.48268817205,234.2211763329515,-2.147337004899672,0.239854726388293,Local Watershed,69.8748712639179,1691.5570553149555
39,235.23265075683597,142.9060334159425,8.863408088684082,63.89988212376158,965.4021193929306,6.0,1990-12-24,1990-09-16,LW,1990,105842.16502,251.83872588290043,-2.2685220308440366,0.3043020534954668,Local Watershed,69.8748712639179,1691.5570553149555
40,230.45054626464844,45.13037117938286,8.197819709777832,20.526760039632823,1164.274376579738,6.0,1991-04-09,1990-12-24,R,1990,166458.51476635513,1089.1775796142272,-2.2006061911409738,-0.4761304100562438,Local Watershed,69.8748712639179,1691.5570553149555
43,232.37664794921875,169.1398788761993,8.927762985229492,39.03634045178261,209.0019331996415,6.0,1991-09-23,1991-07-09,F,1991,,111.91914224606596,-2.6268393759465187,-0.0294097108386043,Local Watershed,81.8951592810555,1700.1484038461754
45,233.8366241455078,213.59236229586023,10.924068450927734,30.63407684029372,938.5822128456324,6.0,1991-12-16,1991-09-23,LW,1991,,77.92163198583732,-2.38745113839,0.2629269832832651,Local Watershed,81.8951592810555,1700.1484038461754
47,235.1419677734375,204.37893503573045,10.519024848937988,39.48268606535243,639.0535037526678,6.0,1992-03-16,1991-12-16,R,1991,,361.0570557550608,-2.264096860695875,-0.108223717193063,Local Watershed,81.8951592810555,1700.1484038461754
49,232.68995666503903,47.7888439045139,8.869485855102539,26.18298954366101,1191.8973838925665,6.0,1992-06-16,1992-03-16,HW,1992,,565.6060199632634,-2.8701618807375366,0.0631385584443943,Local Watershed,123.40737434880305,1750.0706503480558
51,234.5397491455078,52.453124731165865,8.847450256347656,22.530368428283904,1203.4394678567296,6.0,1992-09-16,1992-06-16,F,1992,145260.90733333334,106.05769972442712,-2.4859586831130485,0.3231007011973135,Local Watershed,123.40737434880305,1750.0706503480558
52,234.3448486328125,208.28320143052684,10.83965301513672,40.6355874966359,852.8604312877341,6.0,1992-12-16,1992-09-16,LW,1992,,157.18773842962142,-2.225155325301693,0.1840060244773916,Local Watershed,123.40737434880305,1750.0706503480558
54,234.30596923828125,89.19132674183692,10.001495361328123,52.85517588732574,1061.55817848616,6.0,1993-03-16,1992-12-16,R,1992,,768.1947781437109,-1.9297973469350265,-0.2525988396210725,Local Watershed,123.40737434880305,1750.0706503480558
56,231.26535034179688,29.047976631629133,8.025285720825195,18.81849876847554,1401.1877576530658,6.0,1993-06-16,1993-03-16,HW,1993,,739.5338352314266,-2.3736645691773117,-0.0085263920766988,Local Watershed,152.38432948164512,1598.2058671145326
