"","mean_SPM","area_km2","mean_precipitation","mean_discharge","mean_u__wind","mean_v__wind","anthropic_km2","max_SPM","min_SPM"
"mean_SPM",1,-0.883994528043776,-0.290381621774612,-0.833784612481721,0.156662028017255,0.303059178799775,-0.131461710125201,0.773528400185684,0.735155660490323
"area_km2",-0.883994528043776,1,0.195056370583518,0.84099249964621,-0.122857749403234,-0.21956270496944,0.0920165867006654,-0.751688413983847,-0.652610342997915
"mean_precipitation",-0.290381621774612,0.195056370583518,1,0.340478324449266,0.188126518438065,-0.251470622991383,-0.0528264353451891,-0.448441938903584,-0.465688917113711
"mean_discharge",-0.833784612481721,0.84099249964621,0.340478324449266,1,-0.0679293346416282,-0.253234898766103,0.125229059548186,-0.715221029615966,-0.745022951359639
"mean_u__wind",0.156662028017255,-0.122857749403234,0.188126518438065,-0.0679293346416282,1,-0.0473865459005567,-0.0775888863083451,0.113622608153207,0.0465142787476536
"mean_v__wind",0.303059178799775,-0.21956270496944,-0.251470622991383,-0.253234898766103,-0.0473865459005567,1,-0.287298915982915,0.104411655979418,0.214828736457139
"anthropic_km2",-0.131461710125201,0.0920165867006654,-0.0528264353451891,0.125229059548186,-0.0775888863083451,-0.287298915982915,1,-0.0964796938250257,-0.125575945054148
"max_SPM",0.773528400185684,-0.751688413983847,-0.448441938903584,-0.715221029615966,0.113622608153207,0.104411655979418,-0.0964796938250257,1,0.587450684869747
"min_SPM",0.735155660490323,-0.652610342997915,-0.465688917113711,-0.745022951359639,0.0465142787476536,0.214828736457139,-0.125575945054148,0.587450684869747,1
