time_finish,TSS_max,TSS_min,TSS_stdDev,time_start,water_period,year,mean_discharge,precipitation,u_wind,v_wind,watershed,anthropogenic_km2,natural_km2,TSS_max_fill,TSS_mean,TSS_min_fill,TSS_stdDev_fill,area_km2
1985-04-09 00:00:00,231.3883514404297,8.646607398986816,27.405530067776343,1984-12-24 00:00:00,R,1985,166387.87567289718,1082.9390163052624,-1.8039576920909812,-0.4692499481064776,Local Watershed,48.89779975640928,1838.0006815653287,231.3883514404297,48.81200034423448,8.646607398986816,27.405530067776343,1043.4040130082576
1985-07-09 00:00:00,230.7235412597656,7.906408309936523,18.243428217787777,1985-04-09 00:00:00,HW,1985,191041.16147668607,578.6345864837322,-2.042476098972741,-0.0871503936438335,Local Watershed,48.89779975640928,1838.0006815653287,230.7235412597656,26.369014805470904,7.906408309936523,18.243428217787777,1091.495113033965
1985-07-09 06:00:00,,,,1985-04-09 00:00:00,HW,1985,191042.1401086957,576.5715981412649,-2.041936541398722,-0.08747244077290434,Local Watershed,48.89779975640928,1838.0006815653287,230.73046623242672,26.364539826881284,7.904222068786931,18.232061383421755,1090.7581392774496
1985-09-23 00:00:00,233.25125122070312,8.202881813049316,24.029145391972637,1985-07-09 00:00:00,F,1985,169404.9714536222,125.4308027954217,-1.7111385343116703,-0.1832498161210826,Local Watershed,48.89779975640928,1838.0006815653287,233.25125122070312,36.788005395866485,8.202881813049316,24.029145391972637,885.7687563203566
1985-09-23 18:00:00,,,,1985-07-09 06:00:00,F,1985,168948.84144736844,124.27719778680684,-1.706810676143468,-0.18258669922841647,Local Watershed,48.89779975640928,1838.0006815653287,233.27224087807008,36.996452684214475,8.219994206186296,24.20500159104948,885.0099416064758
1985-12-16 00:00:00,234.16390991210935,10.828718185424805,48.52975603549047,1985-09-23 00:00:00,LW,1985,119094.38437190208,411.5075007853583,-1.3640438345433308,-0.0941739116742522,Local Watershed,48.89779975640928,1838.0006815653287,234.16390991210935,59.01813118102388,10.828718185424805,48.52975603549047,981.618495408303
1985-12-16 06:00:00,,,,1985-09-23 18:00:00,LW,1985,119047.93019047617,413.0852650526427,-1.3639972069848592,-0.09496655692462108,Local Watershed,48.89779975640928,1838.0006815653287,234.16235354818357,59.043842991869816,10.834035512274049,48.57923423916286,982.1406797620424
1986-03-16 00:00:00,,,,1985-12-16 00:00:00,R,1986,155968.45291912116,912.2810887688516,-1.7676569860201516,-0.5907965822965379,Local Watershed,49.87707703699259,1865.9027929113597,232.51608166252845,46.219963657772674,10.613840095918516,47.73297043582675,1134.625025481628
1986-03-16 18:00:00,,,,1985-12-16 06:00:00,R,1986,156512.75049999997,914.6706985785523,-1.7730599386305836,-0.5914906324588398,Local Watershed,49.87707703699259,1865.9027929113597,232.49764973890046,45.9927436803217,10.599273492615868,47.61146782252534,1135.5423092059389
1986-06-08 00:00:00,,,,1986-03-16 00:00:00,HW,1986,209434.1980752447,781.8251134822032,-2.2773112492764374,-0.1804182685107027,Local Watershed,49.87707703699259,1865.9027929113597,230.85058323530987,21.27633676111729,8.689902827314427,30.60801772333319,1188.152254395688
1986-06-08 06:00:00,,,,1986-03-16 18:00:00,HW,1986,209541.61785714288,779.9662372603547,-2.2780872271312185,-0.17889980066180766,Local Watershed,49.87707703699259,1865.9027929113597,230.84810229332655,21.222255734790537,8.684770440008228,30.558433321284323,1188.1453536083234
1986-08-23 00:00:00,231.4406280517578,8.064193725585938,22.183980188807816,1986-06-08 00:00:00,F,1986,212255.26908587245,102.24748103229544,-2.1719074931816253,0.1597006353275995,Local Watershed,49.87707703699259,1865.9027929113597,231.4406280517578,20.104852677257384,8.064193725585938,22.183980188807816,1131.200198435967
1986-08-23 18:00:00,,,,1986-06-08 06:00:00,F,1986,211907.34,98.02681780990027,-2.1673092148395883,0.16303469081554736,Local Watershed,49.87707703699259,1865.9027929113597,231.46308147428297,20.292608727671873,8.07105388961961,22.197312827283618,1130.0447081715956
1986-11-23 00:00:00,235.26026916503903,9.72849941253662,37.27832269527414,1986-08-23 00:00:00,LW,1986,146186.29601086956,169.50533214867326,-1.565426432221988,0.3899023552021343,Local Watershed,49.87707703699259,1865.9027929113597,235.26026916503903,62.35286149300119,9.72849941253662,37.27832269527414,1005.1201743133836
