,area_km2,mean_SPM,max_SPM,min_SPM,stdDev_SPM,time_start,year,water_period,mean_precipitation,mean_discharge,mean_u__wind,mean_v__wind,time_finish,anthropic_km2,class_name
0,821.5818752326537,185.75168083500355,306.0490417480469,6.048137187957764,75.43100587715509,1990-01-18,1990,R,272.1379994997301,132135.74928571426,-1.3951800655603557,-0.5487519051089431,1990-02-23,2754.99223517401,Non-natural
1,1328.1065329602675,35.79548601883213,220.133544921875,5.868872165679932,20.544099733578825,1990-02-23,1990,HW,1090.2938672785624,178324.6838930596,-1.6425468695211078,-0.0908543151884974,1990-08-06,2754.99223517401,Non-natural
2,1177.990136591087,27.31080937024172,282.4901123046875,5.868872165679932,20.91641121719867,1990-08-06,1990,F,40.26201043695168,165665.86725531917,-1.7142809608970022,0.3698838042146372,1990-09-09,2754.99223517401,Non-natural
3,1042.6132690898216,126.40686502355815,306.0490417480469,5.929328441619873,70.05946306908106,1990-09-09,1990,LW,252.06189768463545,109090.80271397848,-1.8042030510503768,0.1174847194163667,1990-12-22,2754.99223517401,Non-natural
4,1047.8971717434415,58.32321392439949,298.3011474609375,5.939962863922119,39.88293724756619,1990-12-22,1990,R,753.0098331627328,159619.0427026468,-1.66768702812298,-0.6244944327977772,1991-03-01,2754.99223517401,Non-natural
5,1025.2125168513303,198.989725976944,298.3011474609375,9.00770378112793,55.045288082212686,1991-09-10,1991,LW,242.19328491106893,109919.3152883764,-1.802363064888428,-0.0343195037646915,1992-02-19,2797.3999126282465,Non-natural
6,1243.9976855964044,51.0980366590457,282.4901123046875,6.15207052230835,23.52409513733013,1992-05-22,1992,F,136.99443019359418,167971.94508333335,-2.351888183376196,0.1533261410762648,1992-07-28,3115.7737347501184,Non-natural
7,884.2563647996187,222.56590034490645,306.0490417480469,10.602988243103027,57.79652065327687,1992-07-28,1992,LW,223.05651685686064,127037.20871223118,-1.770683520646844,0.0202584694556415,1992-12-24,3115.7737347501184,Non-natural
8,1061.0335190643907,92.19027906781136,306.0490417480469,9.23123550415039,56.9645273163376,1992-12-24,1992,R,448.88543332595793,156509.26001190476,-1.506737807651341,-0.2687824369386508,1993-02-14,3115.7737347501184,Non-natural
9,1440.0734369550355,22.763292130592134,217.03683471679688,6.004939556121826,17.14401908060014,1993-02-14,1993,HW,1209.8208796480603,189790.54376224056,-1.6059773807447095,-0.0220615830097237,1993-08-05,3332.313777027512,Non-natural
