time_finish,TSS_max,TSS_mean,TSS_min,TSS_stdDev,area_km2,time_start,water_period,year,mean_discharge,precipitation,u_wind,v_wind,watershed,anthropogenic_km2,natural_km2,TSS_max_fill,TSS_mean_fill,TSS_min_fill,TSS_stdDev_fill,area_km2_fill
1985-04-09 00:00:00,231.3883514404297,48.81200034423448,8.646607398986816,27.405530067776343,1043.4040130082576,1984-12-24 00:00:00,R,1985,166387.87567289718,753.8684853324738,-0.945100243101277,-0.6933346104218857,Regional Watershed,1637.2688073846273,305485.4746074757,231.3883514404297,48.81200034423448,8.646607398986816,27.405530067776343,1043.4040130082576
1985-07-09 00:00:00,230.7235412597656,26.369014805470904,7.906408309936523,18.243428217787777,1091.495113033965,1985-04-09 00:00:00,HW,1985,191041.16147668607,693.334073351983,-0.7277543725046437,-0.1261210636412554,Regional Watershed,1637.2688073846273,305485.4746074757,230.7235412597656,26.369014805470904,7.906408309936523,18.243428217787777,1091.495113033965
1985-07-09 06:00:00,,,,,,1985-04-09 00:00:00,HW,1985,191042.1401086957,692.1383858730861,-0.7271746529866914,-0.12610314949010362,Regional Watershed,1637.2688073846273,305485.4746074757,230.73046623242672,26.364539826881284,7.904222068786931,18.232061383421755,1090.7581392774496
1985-09-23 00:00:00,233.25125122070312,36.788005395866485,8.202881813049316,24.029145391972637,885.7687563203566,1985-07-09 00:00:00,F,1985,169404.9714536222,350.42461740407543,-0.5778235797297706,-0.2384264019032202,Regional Watershed,1637.2688073846273,305485.4746074757,233.25125122070312,36.788005395866485,8.202881813049316,24.029145391972637,885.7687563203566
1985-09-23 18:00:00,,,,,,1985-07-09 06:00:00,F,1985,168948.84144736844,348.53034024833727,-0.5767074273488481,-0.23947112369240015,Regional Watershed,1637.2688073846273,305485.4746074757,233.27224087807008,36.996452684214475,8.219994206186296,24.20500159104948,885.0099416064758
1985-12-16 00:00:00,234.16390991210935,59.01813118102388,10.828718185424805,48.52975603549047,981.618495408303,1985-09-23 00:00:00,LW,1985,119094.38437190208,404.1351243514853,-0.576755159228704,-0.3554553022880002,Regional Watershed,1637.2688073846273,305485.4746074757,234.16390991210935,59.01813118102388,10.828718185424805,48.52975603549047,981.618495408303
1985-12-16 06:00:00,,,,,,1985-09-23 18:00:00,LW,1985,119047.93019047617,404.89225280537545,-0.5773264679691095,-0.3562668384667137,Regional Watershed,1637.2688073846273,305485.4746074757,234.16235354818357,59.043842991869816,10.834035512274049,48.57923423916286,982.1406797620424
1986-03-16 00:00:00,,,,,,1985-12-16 00:00:00,R,1986,155968.45291912116,717.8361517442783,-0.8939199168594564,-0.6242072698696444,Regional Watershed,1567.0678618006457,305474.7229548575,232.51608166252845,46.219963657772674,10.613840095918516,47.73297043582675,1134.625025481628
1986-03-16 18:00:00,,,,,,1985-12-16 06:00:00,R,1986,156512.75049999997,719.8705157654134,-0.8959291220543609,-0.6230459303073225,Regional Watershed,1567.0678618006457,305474.7229548575,232.49764973890046,45.9927436803217,10.599273492615868,47.61146782252534,1135.5423092059389
1986-06-08 00:00:00,,,,,,1986-03-16 00:00:00,HW,1986,209434.1980752447,714.3831781529532,-0.9165654676833273,-0.2022268305651479,Regional Watershed,1567.0678618006457,305474.7229548575,230.85058323530987,21.27633676111729,8.689902827314427,30.60801772333319,1188.152254395688
