"","area_km2","mean_SPM","max_SPM","min_SPM","stdDev_SPM","time_start","year","water_period","mean_precipitation","mean_discharge","time_finish","anthropic_km2","class_name","mean_u__wind","mean_v__wind"
"1",821.581875232654,185.751680835004,306.049041748047,6.04813718795776,75.4310058771551,"1990-01-18",1990,"R",283.192410223313,132135.749285714,"1990-02-23",2799.69677237506,"Non-natural",-0.757564055343601,-0.64245392770617
"2",1328.10653296027,35.7954860188321,220.133544921875,5.86887216567993,20.5440997335788,"1990-02-23",1990,"HW",1311.14308117347,178324.68389306,"1990-08-06",2799.69677237506,"Non-natural",-0.805458919271098,-0.196662524662391
"3",1177.99013659109,27.3108093702417,282.490112304688,5.86887216567993,20.9164112171987,"1990-08-06",1990,"F",74.8096678134264,165665.867255319,"1990-09-09",2799.69677237506,"Non-natural",-0.681016236385772,0.0738299346674343
"4",1042.61326908982,126.406865023558,306.049041748047,5.92932844161987,70.0594630690811,"1990-09-09",1990,"LW",304.228764310329,109090.802713978,"1990-12-22",2799.69677237506,"Non-natural",-0.720925433824235,-0.121658439779592
"5",1047.89717174344,58.3232139243995,298.301147460938,5.93996286392212,39.8829372475662,"1990-12-22",1990,"R",561.373217629706,159619.042702647,"1991-03-01",2799.69677237506,"Non-natural",-1.01673814920389,-0.671618235524424
"6",1025.21251685133,198.989725976944,298.301147460938,9.00770378112793,55.0452880822127,"1991-09-10",1991,"LW",414.468459740773,109919.315288376,"1992-02-19",2846.75660804963,"Non-natural",-0.893229461429958,-0.298922205165574
"7",1243.9976855964,51.0980366590457,282.490112304688,6.15207052230835,23.5240951373301,"1992-05-22",1992,"F",222.786714212289,167971.945083333,"1992-07-28",3167.75327009027,"Non-natural",-1.0578745542352,-0.0512252360688494
"8",884.256364799619,222.565900344906,306.049041748047,10.602988243103,57.7965206532769,"1992-07-28",1992,"LW",427.819160883801,127037.208712231,"1992-12-24",3167.75327009027,"Non-natural",-0.602192221693942,-0.088818158532695
"9",1061.03351906439,92.1902790678114,306.049041748047,9.23123550415039,56.9645273163376,"1992-12-24",1992,"R",375.79649676849,156509.260011905,"1993-02-14",3167.75327009027,"Non-natural",-0.910006096926368,-0.472100265432697
"10",1440.07343695504,22.7632921305921,217.036834716797,6.00493955612183,17.1440190806001,"1993-02-14",1993,"HW",1292.29737061349,189790.543762241,"1993-08-05",3385.26435567149,"Non-natural",-0.787414121778194,-0.144674497438975
"11",1383.29615207145,45.2610607338415,296.486358642578,6.04813718795776,20.1285468287698,"1993-08-05",1993,"F",138.960198029208,162023.608444444,"1993-09-12",3385.26435567149,"Non-natural",-0.441968407241939,-0.0979170971893671
"12",982.276621043046,98.0135956952658,306.049041748047,6.48850870132446,68.4451059476611,"1993-09-12",1993,"LW",291.081734394059,116578.940762673,"1993-11-29",3385.26435567149,"Non-natural",-0.426178427646129,-0.129304743563002
"13",1199.30301615063,27.833677541187,282.490112304688,5.8980278968811,24.5250972080147,"1994-01-15",1994,"HW",1869.83418445614,206425.27627008,"1994-08-25",3519.96066352783,"Non-natural",-0.834243660114632,-0.244979881996974
"14",1311.51255007221,39.4362013836739,283.12060546875,6.04813718795776,18.6556264717513,"1994-08-25",1994,"F",104.682291912686,183063.792805556,"1994-10-01",3519.96066352783,"Non-natural",-0.50746423505837,-0.151652545116901
