"","eigenvalue","percentage of variance","cumulative percentage of variance"
"comp 1",2.89530343026731,41.3614775752473,41.3614775752473
"comp 2",1.56044630615127,22.2920900878753,63.6535676631226
"comp 3",1.0323360370361,14.7476576719443,78.401225335067
"comp 4",0.757222935409578,10.8174705058511,89.2186958409181
"comp 5",0.425702991833235,6.08147131190336,95.3001671528215
"comp 6",0.190791661763983,2.7255951680569,98.0257623208784
"comp 7",0.138196637538515,1.97423767912165,100
