"","eigenvalue","percentage of variance","cumulative percentage of variance"
"comp 1",2.1747435837753,36.245726396255,36.245726396255
"comp 2",1.48307287296631,24.7178812161052,60.9636076123602
"comp 3",1.00779494988311,16.7965824980518,77.760190110412
"comp 4",0.752873671289794,12.5478945214966,90.3080846319086
"comp 5",0.403227372463982,6.72045620773304,97.0285408396416
"comp 6",0.178287549621504,2.9714591603584,100
