"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"TSS_mean",0.787685986435272,0.0146826856014305,0.0226335279250218,0.0520706046670644,0.0121135904029846
"area_km2",0.739068083891029,0.0337641577392666,0.0719147952656436,0.0419648034194605,0.0045136528748232
"mean_discharge",0.716366314378652,0.00368000678664034,0.0557909195092467,0.0171118557025362,0.0297900665371046
"precipitation",0.216177570264824,0.155025606345247,0.350554846179202,0.214274163243443,0.00572542335606197
"u_wind",0.00371412676927811,0.53330527082971,0.00942277290178538,0.178604556117243,0.271526182723547
"v_wind",0.000860605818179873,0.627815358424808,0.00708205831224224,0.0327212128211397,0.307835073906208
"anthropogenic_km2",0.0260478919903449,0.167428445752684,0.50405853863104,0.269299991945924,0.0324106466460317
