"","eigenvalue","percentage of variance","cumulative percentage of variance"
"comp 1",2.48992057954758,35.5702939935368,35.5702939935368
"comp 2",1.53570153147978,21.9385933068541,57.5088873003909
"comp 3",1.02145745872418,14.5922494103455,72.1011367107364
"comp 4",0.80604718791681,11.514959827383,83.6160965381194
"comp 5",0.663914636446761,9.48449480638231,93.1005913445017
"comp 6",0.300971649941184,4.29959499915978,97.4001863436615
"comp 7",0.181986955943698,2.59981365633854,100
