"","eigenvalue","percentage of variance","cumulative percentage of variance"
"comp 1",1.90433047285341,31.7388412142235,31.7388412142235
"comp 2",1.52920690175863,25.4867816959772,57.2256229102007
"comp 3",0.965469980688998,16.0911663448166,73.3167892550173
"comp 4",0.787839627030202,13.1306604505034,86.4474497055207
"comp 5",0.631062057749053,10.5177009624842,96.9651506680049
"comp 6",0.182090959919706,3.03484933199509,100
