"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"TSS_mean",31.634984380843,0.956089793521426,2.21580720094711,6.45999458191007,1.82457047005559
"area_km2",29.6823958949453,2.19861457758213,7.04041021497523,5.20624648885836,0.679854401008546
"mean_discharge",28.7706491629872,0.239630339047349,5.46189359456344,2.1229347312483,4.48703265476109
"precipitation",8.68210705355525,10.0947744836763,34.3190842834563,26.5833274348644,0.86237341997823
"u_wind",0.149166475420392,34.72714325653,0.92248314614635,22.1580769456981,40.89775519587
"v_wind",0.0345635850897801,40.8813396063917,0.693328758016791,4.05946615925875,46.3666647799372
"anthropogenic_km2",1.0461334471591,10.9024079432513,49.3469928018948,33.4099536581619,4.88174907838933
