,Data,type,day,month,year,longitude,latitude
70,2002-09-02 11:55:00.538745088,HW_to_F,2,9,2002,-55.5131,-1.9192
71,2002-09-02 11:55:00.538744704,F_to_LW,2,9,2002,-55.5131,-1.9192
72,2003-02-21 07:41:11.216689024,LW_to_R,21,2,2003,-55.5131,-1.9192
73,2003-02-21 07:41:11.216689408,R_to_HW,21,2,2003,-55.5131,-1.9192
74,2003-08-29 13:04:59.556868736,HW_to_F,29,8,2003,-55.5131,-1.9192
75,2003-08-29 13:04:59.556868224,F_to_LW,29,8,2003,-55.5131,-1.9192
76,2004-02-14 10:57:33.386790272,LW_to_R,14,2,2004,-55.5131,-1.9192
77,2004-02-14 10:57:33.386790784,R_to_HW,14,2,2004,-55.5131,-1.9192
78,2004-08-10 08:30:42.414011648,HW_to_F,10,8,2004,-55.5131,-1.9192
79,2004-08-10 08:30:42.414011136,F_to_LW,10,8,2004,-55.5131,-1.9192
80,2005-02-12 17:58:55.795174528,LW_to_R,12,2,2005,-55.5131,-1.9192
81,2005-02-12 17:58:55.795175040,R_to_HW,12,2,2005,-55.5131,-1.9192
82,2005-07-26 04:19:05.116154368,HW_to_F,26,7,2005,-55.5131,-1.9192
83,2005-07-26 04:19:05.116153984,F_to_LW,26,7,2005,-55.5131,-1.9192
84,2006-01-19 03:09:11.400234880,LW_to_R,19,1,2006,-55.5131,-1.9192
85,2006-01-19 03:09:11.400235392,R_to_HW,19,1,2006,-55.5131,-1.9192
86,2006-08-12 06:54:51.860374784,HW_to_F,12,8,2006,-55.5131,-1.9192
87,2006-08-12 06:54:51.860374528,F_to_LW,12,8,2006,-55.5131,-1.9192
88,2007-01-27 22:30:00.521818112,LW_to_R,27,1,2007,-55.5131,-1.9192
89,2007-01-27 22:30:00.521818624,R_to_HW,27,1,2007,-55.5131,-1.9192
90,2007-08-16 10:19:51.287161856,HW_to_F,16,8,2007,-55.5131,-1.9192
91,2007-08-16 10:19:51.287161344,F_to_LW,16,8,2007,-55.5131,-1.9192
92,2008-01-15 20:35:57.916674816,LW_to_R,15,1,2008,-55.5131,-1.9192
93,2008-01-15 20:35:57.916675328,R_to_HW,15,1,2008,-55.5131,-1.9192
94,2008-08-17 20:16:17.616180224,HW_to_F,17,8,2008,-55.5131,-1.9192
95,2008-08-17 20:16:17.616179712,F_to_LW,17,8,2008,-55.5131,-1.9192
96,2009-01-07 16:45:12.539422720,LW_to_R,7,1,2009,-55.5131,-1.9192
97,2009-01-07 16:45:12.539422976,R_to_HW,7,1,2009,-55.5131,-1.9192
98,2009-09-06 13:50:15.641343232,HW_to_F,6,9,2009,-55.5131,-1.9192
99,2009-09-06 13:50:15.641342976,LW_to_R,6,9,2009,-55.5131,-1.9192
100,2010-02-08 13:05:49.187592448,R_to_HW,8,2,2010,-55.5131,-1.9192
101,2010-08-05 04:31:38.336370432,HW_to_F,5,8,2010,-55.5131,-1.9192
102,2010-08-05 04:31:38.336369920,LW_to_R,5,8,2010,-55.5131,-1.9192
103,2011-02-10 18:25:24.824284160,R_to_HW,10,2,2011,-55.5131,-1.9192
104,2011-08-15 11:04:08.791168000,HW_to_F,15,8,2011,-55.5131,-1.9192
105,2011-08-15 11:04:08.791167488,LW_to_R,15,8,2011,-55.5131,-1.9192
106,2012-01-16 08:11:51.279173120,R_to_HW,16,1,2012,-55.5131,-1.9192
107,2012-08-19 20:40:07.267356160,HW_to_F,19,8,2012,-55.5131,-1.9192
108,2012-08-19 20:40:07.267355648,LW_to_R,19,8,2012,-55.5131,-1.9192
109,2013-01-30 23:46:52.193700608,R_to_HW,30,1,2013,-55.5131,-1.9192
110,2013-09-04 06:49:59.113737216,HW_to_F,4,9,2013,-55.5131,-1.9192
111,2013-09-04 06:49:59.113736960,LW_to_R,4,9,2013,-55.5131,-1.9192
112,2014-01-13 00:46:19.182860032,R_to_HW,13,1,2014,-55.5131,-1.9192
113,2014-09-11 09:40:15.243722496,HW_to_F,11,9,2014,-55.5131,-1.9192
114,2014-09-11 09:40:15.243721984,LW_to_R,11,9,2014,-55.5131,-1.9192
115,2015-01-24 16:27:04.844183808,R_to_HW,24,1,2015,-55.5131,-1.9192
116,2015-09-08 19:52:32.266576384,HW_to_F,8,9,2015,-55.5131,-1.9192
117,2015-09-08 19:52:32.266575872,LW_to_R,8,9,2015,-55.5131,-1.9192
118,2016-03-20 11:33:46.604769024,R_to_HW,20,3,2016,-55.5131,-1.9192
119,2016-08-08 19:14:32.050094848,HW_to_F,8,8,2016,-55.5131,-1.9192
120,2016-08-08 19:14:32.050094336,LW_to_R,8,8,2016,-55.5131,-1.9192
121,2017-01-21 20:58:37.631809024,R_to_HW,21,1,2017,-55.5131,-1.9192
122,2017-08-11 18:21:23.562888704,HW_to_F,11,8,2017,-55.5131,-1.9192
123,2017-08-11 18:21:23.562888192,LW_to_R,11,8,2017,-55.5131,-1.9192
124,2018-01-29 13:00:13.351328000,R_to_HW,29,1,2018,-55.5131,-1.9192
125,2018-08-30 10:06:20.614346496,HW_to_F,30,8,2018,-55.5131,-1.9192
126,2018-08-30 10:06:20.614345984,LW_to_R,30,8,2018,-55.5131,-1.9192
127,2019-01-03 16:13:33.998409472,R_to_HW,3,1,2019,-55.5131,-1.9192
128,2019-09-03 08:28:38.768050688,HW_to_F,3,9,2019,-55.5131,-1.9192
129,2019-09-03 08:28:38.768050176,LW_to_R,3,9,2019,-55.5131,-1.9192
130,2020-01-05 21:50:00.886263296,R_to_HW,5,1,2020,-55.5131,-1.9192
131,2020-08-18 01:57:54.741506816,HW_to_F,18,8,2020,-55.5131,-1.9192
132,2020-08-18 01:57:54.741506560,LW_to_R,18,8,2020,-55.5131,-1.9192
133,2021-01-14 22:01:58.897213184,R_to_HW,14,1,2021,-55.5131,-1.9192
134,2021-09-09 02:24:24.733794304,HW_to_F,9,9,2021,-55.5131,-1.9192
135,2021-09-09 02:24:24.733794048,LW_to_R,9,9,2021,-55.5131,-1.9192
136,2021-12-18 15:41:35.290092288,R_to_HW,18,12,2021,-55.5131,-1.9192
137,2022-09-03 21:30:16.816197888,HW_to_F,3,9,2022,-55.5131,-1.9192
138,2022-09-03 21:30:16.816197632,LW_to_R,3,9,2022,-55.5131,-1.9192
139,2023-02-02 23:54:11.940378880,R_to_HW,2,2,2023,-55.5131,-1.9192
140,2023-08-09 23:30:27.583650560,HW_to_F,9,8,2023,-55.5131,-1.9192
141,2023-08-09 23:30:27.583650048,LW_to_R,9,8,2023,-55.5131,-1.9192
142,2024-03-05 12:11:22.095481344,R_to_HW,5,3,2024,-55.5131,-1.9192
143,2024-07-20 01:57:06.565163264,HW_to_F,20,7,2024,-55.5131,-1.9192
144,2024-07-20 01:57:06.565162752,F_to_L,20,7,2024,-55.5131,-1.9192
