,water_period,media_vazao,Data,type,day,month,year,longitude,latitude,time_start
50,F,175660.20759999997,2002-08-19 03:22:40.000000000,HW_to_F,19,8,2002,-55.5131,-1.9192,2002-08-19
51,LW,116004.58807750206,2002-09-18 22:12:26.887966848,F_to_LW,18,9,2002,-55.5131,-1.9192,2002-09-18
52,R,150666.27463608026,2002-12-31 02:07:03.529411712,LW_to_R,31,12,2002,-55.5131,-1.9192,2002-12-31
53,HW,193666.54681003583,2003-03-14 15:37:58.899082624,R_to_HW,14,3,2003,-55.5131,-1.9192,2003-03-14
54,F,168239.77187499995,2003-08-12 19:25:42.857142784,HW_to_F,12,8,2003,-55.5131,-1.9192,2003-08-12
55,LW,126322.32968953854,2003-09-18 02:28:02.242990592,F_to_LW,18,9,2003,-55.5131,-1.9192,2003-09-18
56,R,154595.29489080462,2004-01-12 02:48:49.655172352,LW_to_R,12,1,2004,-55.5131,-1.9192,2004-01-12
57,HW,195550.16219969274,2004-03-08 10:15:00.000000000,R_to_HW,8,3,2004,-55.5131,-1.9192,2004-03-08
58,F,171769.7223147605,2004-07-19 10:22:42.162162048,HW_to_F,19,7,2004,-55.5131,-1.9192,2004-07-19
59,LW,124781.3575430352,2004-09-10 04:00:00.000000000,F_to_LW,10,9,2004,-55.5131,-1.9192,2004-09-10
60,R,138929.42266666668,2005-01-08 02:18:47.710843392,LW_to_R,8,1,2005,-55.5131,-1.9192,2005-01-08
61,HW,180999.04104059143,2005-02-24 12:08:53.333333376,R_to_HW,24,2,2005,-55.5131,-1.9192,2005-02-24
62,F,171839.26405405405,2005-07-13 09:36:00.000000000,HW_to_F,13,7,2005,-55.5131,-1.9192,2005-07-13
63,LW,106080.17694964157,2005-08-12 17:26:17.528089856,F_to_LW,12,8,2005,-55.5131,-1.9192,2005-08-12
64,R,160096.87898069495,2005-12-23 22:38:38.644067840,LW_to_R,23,12,2005,-55.5131,-1.9192,2005-12-23
65,HW,201415.74048783246,2006-02-02 13:37:55.200000000,R_to_HW,2,2,2006,-55.5131,-1.9192,2006-02-02
66,F,183308.0648275862,2006-08-03 00:56:50.526315776,HW_to_F,3,8,2006,-55.5131,-1.9192,2006-08-03
67,LW,136644.78661182796,2006-08-30 05:34:44.210526208,F_to_LW,30,8,2006,-55.5131,-1.9192,2006-08-30
68,R,154536.10685476192,2006-12-23 04:12:15.766423296,LW_to_R,23,12,2006,-55.5131,-1.9192,2006-12-23
69,HW,184493.99160463712,2007-02-24 15:00:00.000000000,R_to_HW,24,2,2007,-55.5131,-1.9192,2007-02-24
70,F,164391.1825192308,2007-08-06 12:43:56.619718144,HW_to_F,6,8,2007,-55.5131,-1.9192,2007-08-06
71,LW,110485.55867642681,2007-09-04 10:56:57.511520768,F_to_LW,4,9,2007,-55.5131,-1.9192,2007-09-04
72,R,129790.93746153844,2007-12-19 16:18:27.692307712,LW_to_R,19,12,2007,-55.5131,-1.9192,2007-12-19
73,HW,186521.60465002473,2008-01-30 07:13:58.356164352,R_to_HW,30,1,2008,-55.5131,-1.9192,2008-01-30
74,F,164827.16869387752,2008-08-07 16:57:41.538461440,HW_to_F,7,8,2008,-55.5131,-1.9192,2008-08-07
75,LW,119278.7440951613,2008-09-06 19:28:35.183246080,F_to_LW,6,9,2008,-55.5131,-1.9192,2008-09-06
