,area_km2,mean_SPM,max_SPM,min_SPM,stdDev_SPM,time_finish,time_start,year,WATER_PERIOD
0,821.5818752326537,185.75168083500353,306.0490417480469,6.048137187957764,75.43100587715509,1990-02-23,1990-01-18,1990,R
1,1328.1065329602675,35.79548601883213,220.133544921875,5.868872165679932,20.544099733578825,1990-08-06,1990-02-23,1990,HW
2,1177.9901365910873,27.31080937024172,282.4901123046875,5.868872165679932,20.91641121719867,1990-09-09,1990-08-06,1990,F
3,1042.6132690898216,126.40686502355815,306.0490417480469,5.929328441619873,70.05946306908106,1990-12-22,1990-09-09,1990,LW
4,1047.8971717434415,58.32321392439949,298.3011474609375,5.939962863922119,39.88293724756619,1991-03-01,1990-12-22,1990,R
5,1025.2125168513305,198.989725976944,298.3011474609375,9.00770378112793,55.045288082212686,1992-02-19,1991-09-10,1991,LW
6,1243.9976855964044,51.098036659045704,282.4901123046875,6.15207052230835,23.524095137330132,1992-07-28,1992-05-22,1992,F
7,884.2563647996187,222.56590034490645,306.0490417480469,10.602988243103027,57.79652065327687,1992-12-24,1992-07-28,1992,LW
8,1061.0335190643907,92.19027906781137,306.0490417480469,9.23123550415039,56.964527316337595,1993-02-14,1992-12-24,1992,R
9,1440.0734369550355,22.763292130592138,217.03683471679688,6.004939556121826,17.14401908060014,1993-08-05,1993-02-14,1993,HW
10,1383.2961520714455,45.26106073384154,296.4863586425781,6.048137187957764,20.12854682876976,1993-09-12,1993-08-05,1993,F
11,982.2766210430462,98.01359569526582,306.0490417480469,6.488508701324463,68.44510594766115,1993-11-29,1993-09-12,1993,LW
12,1199.3030161506292,27.833677541186955,282.4901123046875,5.8980278968811035,24.52509720801475,1994-08-25,1994-01-15,1994,HW
13,1311.5125500722083,39.43620138367386,283.12060546875,6.048137187957764,18.655626471751347,1994-10-01,1994-08-25,1994,F
14,1003.1628282542129,104.55276285723203,296.4863586425781,6.781344413757324,56.80241772763302,1994-12-26,1994-10-01,1994,LW
15,1159.6540166867185,53.92886289434488,288.7114562988281,5.8923492431640625,37.8868075990477,1995-07-20,1995-03-26,1995,HW
16,1262.8478471893677,22.61347045851396,282.4901123046875,5.6749958992004395,23.87588333205999,1995-08-17,1995-07-20,1995,F
17,617.3864330964858,142.9794627249951,306.0490417480469,6.781344413757324,72.22587608925382,1995-12-31,1995-08-17,1995,LW
18,1108.942604186691,26.590100301714575,282.4901123046875,5.819321632385254,21.91241591113313,1996-08-09,1996-02-17,1996,HW
19,1268.635118101389,34.25253840098676,294.67303466796875,5.733511924743652,18.75636998210275,1996-09-11,1996-08-09,1996,F
20,914.8587783139595,204.3059599354139,306.0490417480469,5.909254550933838,59.147752891800245,1996-12-29,1996-09-11,1996,LW
21,1401.0223267376648,15.427294598670054,216.90159606933594,5.6749958992004395,16.369008128971767,1997-07-30,1997-02-21,1997,HW
22,1388.131600759376,24.501873181419068,282.4901123046875,5.868872165679932,14.284304570333434,1997-08-24,1997-07-30,1997,F
23,764.2234827628865,195.06927638415112,306.0490417480469,6.918151378631592,64.53914329116262,1998-02-08,1997-08-24,1997,LW
24,1233.2361367312153,47.38494233001558,296.4863586425781,5.868872165679932,34.7639888673364,1998-07-24,1998-04-10,1998,HW
