year,area_km2,band,class,class_name
2012,6030.065870110708,classification_2012classification_2012classification_2012classification_2012,105,Non-natural
2013,6240.115456286323,classification_2013classification_2013classification_2013classification_2013,105,Non-natural
2014,6451.345538297142,classification_2014classification_2014classification_2014classification_2014,105,Non-natural
2015,6676.036989407345,classification_2015classification_2015classification_2015classification_2015,105,Non-natural
2016,6819.203555682529,classification_2016classification_2016classification_2016classification_2016,105,Non-natural
2017,6852.85937210317,classification_2017classification_2017classification_2017classification_2017,105,Non-natural
2018,6734.515507477554,classification_2018classification_2018classification_2018classification_2018,105,Non-natural
2019,6581.596971692436,classification_2019classification_2019classification_2019classification_2019,105,Non-natural
2020,6688.082816417067,classification_2020classification_2020classification_2020classification_2020,105,Non-natural
2021,6708.529969978853,classification_2021classification_2021classification_2021classification_2021,105,Non-natural
2022,7027.440276599548,classification_2022classification_2022classification_2022classification_2022,105,Non-natural
2023,7525.813345451245,classification_2023classification_2023classification_2023classification_2023,105,Non-natural
