TSS Correlation,COEF,P,SE,SIG
Surface Area,-0.424390243902439,9.27885534282327e-05,0.144992742601795,***
Precipitation,-0.136585365853659,0.208400049162676,0.158627481519425, 
Discharge,-0.492682926829268,5.68702766053872e-06,0.139344944947178,***
Eastward Wind Speed,0.0902439024390244,0.405881315880991,0.15947478203285, 
Northward Wind Speed,0.192682926829268,0.0759563199114747,0.157127523720303, 
Anthropic Area,-0.318486941524667,0.0033708966549003,0.151789840212546,**
