TSS Correlation,COEF,LOCAL,LOCAL
Surface Area,-0.496443812233286,1.14611061195827e-05,0.144678142910324
,-0.194879089615932,0.0850059626149102,0.163471212249067
Discharge,-0.0230735420779449,0.840294268621256,0.166622295064814
Eastward Wind Speed,-0.19203413940256,0.0896575048881352,0.163564707659616
Northward Wind Speed,0.189189189189189,0.0945118336802026,0.163656775897162
Anthropic Area,-0.0782361308677098,0.489279799882147,0.166155809393443
