"","TSS_max","TSS_mean","TSS_min","TSS_stdDev","area_km2","band_count","time_finish","time_start","water_period","year","precipitation","u_wind","v_wind","watershed","anthropogenic_km2","mean_discharge","natural_km2"
"1",231.38835144043,48.8120003442345,8.64660739898682,27.4055300677763,1043.40401300826,6,"1985-04-09","1984-12-24","R",1984,1051.11712565803,-1.80395769209098,-0.469249948106478,"Local Watershed",231.726343901981,169528.406474747,1632.91131373376
"2",230.723541259766,26.3690148054709,7.90640830993652,18.2434282177878,1091.49511303397,6,"1985-07-09","1985-04-09","HW",1985,578.634586483732,-2.04247609897274,-0.0871503936438335,"Local Watershed",48.8977997564093,177037.437526882,1838.00068156533
"3",233.251251220703,36.7880053958665,8.20288181304932,24.0291453919726,885.768756320357,6,"1985-09-23","1985-07-09","F",1985,125.430802795422,-1.71113853431167,-0.183249816121083,"Local Watershed",48.8977997564093,145260.907333333,1838.00068156533
"4",234.163909912109,59.0181311810239,10.8287181854248,48.5297560354905,981.618495408303,6,"1985-12-16","1985-09-23","LW",1985,411.507500785358,-1.36404383454333,-0.0941739116742522,"Local Watershed",48.8977997564093,158009.549813084,1838.00068156533
"5",231.440628051758,20.1048526772574,8.06419372558594,22.1839801888078,1131.20019843597,6,"1986-08-23","1986-06-08","F",1986,102.247481032295,-2.17190749318163,0.1597006353276,"Local Watershed",49.8770770369926,177037.437526882,1865.90279291136
"6",235.260269165039,62.3528614930012,9.72849941253662,37.2783226952742,1005.12017431338,6,"1986-11-23","1986-08-23","LW",1986,169.505332148673,-1.56542643222199,0.389902355202134,"Local Watershed",49.8770770369926,177037.437526882,1865.90279291136
"7",234.905960083008,83.8672426419026,8.89727878570557,51.6966140887503,1123.62848273913,6,"1987-03-09","1986-11-23","R",1986,626.08380024423,-2.10670377291328,-0.284613049122838,"Local Watershed",49.8770770369926,158009.549813084,1865.90279291136
"8",225.53157043457,29.0817112609707,7.94085788726807,17.1588946001983,1099.75738452322,6,"1987-06-16","1987-03-09","HW",1987,887.498949246072,-2.31473155267649,0.0548915344761877,"Local Watershed",91.9815277792339,206814.6649,1809.63515502633
"9",216.699127197266,24.7325360829624,8.06433963775635,11.9558218968527,1117.03668891152,6,"1987-09-16","1987-06-16","F",1987,190.910249338511,-1.64828892724487,0.085193692616648,"Local Watershed",91.9815277792339,177037.437526882,1809.63515502633
"10",235.061172485352,213.224100620275,10.7537145614624,33.5627070595781,771.116374445323,6,"1987-12-24","1987-09-16","LW",1987,146.977768154087,-1.5640591757969,0.46087120734791,"Local Watershed",91.9815277792339,180681.396129032,1809.63515502633
"11",233.435241699219,50.6198488780627,8.05607986450195,28.0077712521322,1165.73440211447,6,"1988-04-08","1987-12-24","R",1987,944.856243176302,-1.86445134001437,-0.269194663850884,"Local Watershed",91.9815277792339,177037.437526882,1809.63515502633
