"","TSS_mean","area_km2","precipitation","mean_discharge","u_wind","v_wind","anthropogenic_km2"
"TSS_mean",0,0.00194855962199289,1,0.175668134108803,1,0.835519519026221,0.0552996936301263
"area_km2",9.27885534282327e-05,0,1,0.0209127561789606,1,0.156555527964498,0.00351605324024101
"precipitation",0.208400049162676,0.126625897967308,0,0.322233935835903,0.381315553946959,1,1
"mean_discharge",0.0117112089405869,0.00110067137784003,0.0230167097025645,0,1,1,0.571670701270886
"u_wind",0.405881315880991,0.574390688846704,0.0293319656882276,0.176890787396792,0,1,1
"v_wind",0.0759563199114747,0.00978472049778111,0.458506763053802,0.839480082368536,0.225110965726245,0,0.0544419133196029
"anthropogenic_km2",0.00325292315471331,0.000175802662012051,0.669515064512848,0.0476392251059071,0.138176508313229,0.00302455073997794,0
