TSS Correlation,COEF,LOCAL,LOCAL
Surface Area,-0.500891265597148,3.10441429508197e-05,0.15300203634761
,-0.212121212121212,0.0777136706707032,0.172753852287748
Discharge,0.0144813518799215,0.905364358586608,0.176758158443936
Eastward Wind Speed,-0.0303030303030303,0.801029054919923,0.176695511965009
Northward Wind Speed,0.244206773618538,0.0422601952480745,0.171424459649763
Anthropic Area,-0.208928904542524,0.0827689423386963,0.172875380770248
