"","eigenvalue","percentage of variance","cumulative percentage of variance"
"comp 1",2.20820208940456,36.8033681567427,36.8033681567427
"comp 2",1.55928542427506,25.9880904045844,62.7914585613271
"comp 3",0.982992383993299,16.3832063998883,79.1746649612154
"comp 4",0.68464579637203,11.4107632728672,90.5854282340826
"comp 5",0.398132737087448,6.63554561812413,97.2209738522067
"comp 6",0.166741568867597,2.77902614779329,100
