"","TSS_mean","area_km2","precipitation","mean_discharge","u_wind","v_wind","anthropogenic_km2"
"TSS_mean",1,-0.122689075630252,0.213445378151261,-0.394957983193277,-0.00840336134453782,0.146218487394958,-0.215307056805089
"area_km2",-0.122689075630252,1,0.112605042016807,0.512605042016807,0.159663865546219,-0.243697478991597,0.259041302718623
"precipitation",0.213445378151261,0.112605042016807,1,0.0352941176470588,0.374789915966387,-0.156302521008403,0.121110219452863
"mean_discharge",-0.394957983193277,0.512605042016807,0.0352941176470588,1,0.0823529411764706,-0.139495798319328,0.242220438905725
"u_wind",-0.00840336134453782,0.159663865546219,0.374789915966387,0.0823529411764706,1,-0.32436974789916,0.201850365754771
"v_wind",0.146218487394958,-0.243697478991597,-0.156302521008403,-0.139495798319328,-0.32436974789916,1,-0.55508850582562
"anthropogenic_km2",-0.215307056805089,0.259041302718623,0.121110219452863,0.242220438905725,0.201850365754771,-0.55508850582562,1
