"","TSS_mean","area_km2","precipitation","mean_discharge","u_wind","v_wind","anthropogenic_km2"
"TSS_mean",0,0.144992742601795,0.158627481519425,0.153850396389031,0.15947478203285,0.157127523720303,0.151734582469315
"area_km2",0.144992742601795,0,0.157910439072119,0.149456670099678,0.159830196355532,0.153700223655201,0.146242931181667
"precipitation",0.158627481519425,0.157910439072119,0,0.155042278067458,0.155582228622605,0.159608632989469,0.159956121288484
"mean_discharge",0.153850396389031,0.149456670099678,0.155042278067458,0,0.158351967015712,0.160088406316328,0.156282387726307
"u_wind",0.15947478203285,0.159830196355532,0.155582228622605,0.158351967015712,0,0.158733221009452,0.158039824019109
"v_wind",0.157127523720303,0.153700223655201,0.159608632989469,0.160088406316328,0.158733221009452,0,0.151602331713227
"anthropogenic_km2",0.151734582469315,0.146242931181667,0.159956121288484,0.156282387726307,0.158039824019109,0.151602331713227,0
