"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"TSS_mean",0.65619607108706,0.199583484040276,0.0559250220206016,0.00228138268569157,0.000354908392917972
"area_km2",0.546219616127496,0.306162325609221,0.018577299090121,0.046636034415594,0.0071521145232406
"precipitation",0.320928727783632,0.397603694574199,0.00307277051367417,0.0993044470132867,0.178609093725934
"u_wind",0.025503492902035,0.494788965120828,0.0751655055023672,0.402241732134428,0.00190695492113662
"v_wind",0.549088345838867,0.16100532420279,0.00802545453032438,0.0744643851066215,0.204494533866718
"anthropogenic_km2",0.110265835665471,0.000141630727747842,0.82222633233621,0.0597178150164076,0.0056151316575003
