"","TSS_mean","area_km2","precipitation","mean_discharge","u_wind","v_wind","anthropogenic_km2"
"TSS_mean",0,0.172762526688831,0.17006603624242,0.173931310695735,0.174071509471366,0.172206725130348,0.169937140338922
"area_km2",0.172762526688831,0,0.172970491835544,0.170977068373594,0.171844490132956,0.168829440446891,0.168067226890756
"precipitation",0.17006603624242,0.172970491835544,0,0.173954693547758,0.161389094942505,0.171938107427205,0.172833857214863
"mean_discharge",0.173931310695735,0.170977068373594,0.173954693547758,0,0.174068512981561,0.174076640093397,0.172361537360981
"u_wind",0.174071509471366,0.171844490132956,0.161389094942505,0.174068512981561,0,0.164665341668804,0.170560573084488
"v_wind",0.172206725130348,0.168829440446891,0.171938107427205,0.174076640093397,0.164665341668804,0,0.145045035363976
"anthropogenic_km2",0.169937140338922,0.168067226890756,0.172833857214863,0.172361537360981,0.170560573084488,0.145045035363976,0
