"","TSS_mean","area_km2","precipitation","mean_discharge","u_wind","v_wind","anthropogenic_km2"
"TSS_mean",0,0.0633079288028272,0.0830311991664599,0.0582929864932664,0.0824347857867108,0.0821461381821329,0.082528047322351
"area_km2",0.0633079288028272,0,0.0830101463513552,0.0622628712479638,0.0826920336085492,0.0818832932614562,0.0824308910299817
"precipitation",0.0830311991664599,0.0830101463513552,0,0.0821553005222522,0.080395936095871,0.0768881336140161,0.0829412742539365
"mean_discharge",0.0582929864932664,0.0622628712479638,0.0821553005222522,0,0.0824792361630604,0.0818859087142209,0.0828587370875267
"u_wind",0.0824347857867108,0.0826920336085492,0.080395936095871,0.0824792361630604,0,0.0818357002494295,0.0829998761811841
"v_wind",0.0821461381821329,0.0818832932614562,0.0768881336140161,0.0818859087142209,0.0818357002494295,0,0.0809415826733416
"anthropogenic_km2",0.082528047322351,0.0824308910299817,0.0829412742539365,0.0828587370875267,0.0829998761811841,0.0809415826733416,0
