TSS Correlation,COEF,P,SE,SIG
Surface Area,-0.647190383002516,2.8485743344083204e-31,0.0633079288028272,***
Precipitation,-0.0185444040629951,0.73891749776162,0.0830311991664599, 
Discharge,-0.712235579163172,1.62745180297723e-37,0.0582929864932664,***
Eastward Wind Speed,0.121051160190103,0.0295868089638729,0.0824347857867108,*
Northward Wind Speed,0.146771037181996,0.0083439417572911,0.0821461381821329,**
Anthropic Area,-0.111456734871291,0.047270298611804,0.082528047322351,*
