TSS Correlation,COEF,LOCAL,LOCAL
Surface Area,-0.122689075630252,0.299873575692399,0.172762526688831
,0.213445378151261,0.071296880302187,0.17006603624242
Discharge,-0.0409960030845394,0.732613768013905,0.173931310695735
Eastward Wind Speed,-0.0084033613445378,0.943392056822656,0.174071509471366
Northward Wind Speed,0.146218487394958,0.216635331200136,0.172206725130348
Anthropic Area,-0.216806722689076,0.0669536949958006,0.169937140338922
